Id,Name,Original_Stock_Checked__c,Original_Inventory_Count_Date__c,Location__c,Current_Location__c,Physical_Location__c
a06Ro00000BlLYaIAN,320818,,,"Salt Lake City, UT","Salt Lake City, UT | Main C 03B","Salt Lake City, UT"
a06Ro00000CO1IhIAL,324974,2026-03-20,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - D06D",
a06Ro00000CO1IsIAL,324985,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C12A",
a06Ro00000CO1byIAD,324994,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C09A",
a06Ro00000CO1bzIAD,324995,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C09A",
a06Ro00000CO1c0IAD,324996,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C09A",
a06Ro00000CO1c1IAD,324997,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C09A",
a06Ro00000CO1c2IAD,324998,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C09A",
a06Ro00000CO1c3IAD,324999,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C09A",
a06Ro00000CO1c4IAD,325000,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C09A",
a06Ro00000CO1c5IAD,325001,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C09A",
a06Ro00000CO1c6IAD,325002,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - D06D",
a06Ro00000CO1c7IAD,325003,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - D06D",
a06Ro00000CO1c8IAD,325004,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - D06D",
a06Ro00000CO1c9IAD,325005,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - D06D",
a06Ro00000CO1cAIAT,325006,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - D06D",
a06Ro00000CO1cNIAT,325019,2025-12-11,,"Salt Lake City, UT","Salt Lake City, UT | Main C 14C","Milwaukee, WI"
a06Ro00000CO1cOIAT,325020,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C14C",
a06Ro00000CO1cPIAT,325021,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C14C",
a06Ro00000CO1cTIAT,325025,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C14C",
a06Ro00000CO1cVIAT,325027,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C14C",
a06Ro00000CO1daIAD,325044,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C13B",
a06Ro00000CO1dbIAD,325045,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C13C",
a06Ro00000CO1dcIAD,325046,2025-12-11,2024-12-20,"Salt Lake City, UT","Salt Lake, UT  - Main - C13B",
