Id,ParentId,SobjectType,PermissionsRead,PermissionsCreate,PermissionsEdit,PermissionsDelete,PermissionsViewAllRecords,PermissionsModifyAllRecords
1100B000007TmbtQAC,0PS0B0000009LJ3WAM,pi__Category_Contact_Score__c,true,false,false,false,false,false
1100B000007TmbuQAC,0PS0B0000009LJ3WAM,pi__Category_Lead_Score__c,true,false,false,false,false,false
1100B000007TmbvQAC,0PS0B0000009LJ3WAM,pi__Pardot_Scoring_Category__c,true,false,false,false,false,false
1100B000007TmbwQAC,0PS0B0000009LJ4WAM,pi__AsyncRequest__c,true,true,true,true,true,true
1100B000007TmbxQAC,0PS0B0000009LJ4WAM,pi__Category_Contact_Score__c,true,true,true,true,false,false
1100B000007TmbyQAC,0PS0B0000009LJ4WAM,pi__Category_Lead_Score__c,true,true,true,true,false,false
1100B000007TmbzQAC,0PS0B0000009LJ4WAM,pi__LDFilter__c,true,true,true,true,true,true
1100B000007Tmc0QAC,0PS0B0000009LJ4WAM,pi__ObjectChangeLog__c,true,true,true,true,false,false
1100B000007Tmc1QAC,0PS0B0000009LJ4WAM,pi__PardotTask__c,true,true,true,true,true,true
1100B000007Tmc2QAC,0PS0B0000009LJ4WAM,pi__Pardot_Scoring_Category__c,true,true,true,true,false,false
1100B000007Tmc3QAC,0PS0B0000009LJ5WAM,pi__EngageCampaignRecipient__c,true,true,true,true,false,false
1100B000007Tmc4QAC,0PS0B0000009LJ5WAM,pi__LDFilter__c,true,true,true,true,false,false
1100B000007TmcDQAS,0PSU0000000OMREOA4,pi__AsyncRequest__c,true,true,true,true,false,false
1100B000007TmcEQAS,0PSU0000000OMREOA4,pi__Category_Contact_Score__c,true,true,true,true,false,false
1100B000007TmcFQAS,0PSU0000000OMREOA4,pi__Category_Lead_Score__c,true,true,true,true,false,false
1100B000007TmcGQAS,0PSU0000000OMREOA4,pi__EngageCampaignRecipient__c,true,true,true,true,false,false
1100B000007TmcHQAS,0PSU0000000OMREOA4,pi__LDFilter__c,true,true,true,true,false,false
1100B000007TmcIQAS,0PSU0000000OMREOA4,pi__ObjectChangeLog__c,true,true,true,true,false,false
1100B000007TmcJQAS,0PSU0000000OMREOA4,pi__PardotTask__c,true,true,true,true,false,false
1100B000007TmcKQAS,0PSU0000000OMREOA4,pi__Pardot_Scoring_Category__c,true,true,true,true,false,false
1100B000007TpNRQA0,0PS0B0000009LQnWAM,Product2,true,false,false,false,false,false
1100B000007TpNSQA0,0PS0B0000009LQnWAM,Asset,true,false,false,false,false,false
1100B000007TpNTQA0,0PS0B0000009LQnWAM,Account,true,false,false,false,false,false
1100B000007TpNUQA0,0PS0B0000009LQnWAM,Contact,true,false,false,false,false,false
1100B000007TpNVQA0,0PS0B0000009LQnWAM,RMA__c,true,false,false,false,false,false
1100B000007sa8gQAA,0PSU0000000OMREOA4,Equipment__c,true,false,false,false,true,false
1100B000007sayqQAA,0PSU0000000OKzxOAG,Equipment__c,true,false,false,false,true,false
1100B000007sayrQAA,0PSU0000000OKzxOAG,Preventive_Maintenance__c,true,false,false,false,true,false
1100B000007saysQAA,0PSU0000000OKzxOAG,CAPA_Action_Plan__c,true,false,false,false,true,false
1100B000007saytQAA,0PSU0000000OKzxOAG,CAPA_Action__c,true,false,false,false,true,false
1100B000007sayuQAA,0PSU0000000OKzxOAG,CAPA__c,true,false,false,false,true,false
1100B000007sayvQAA,0PSU0000000OKzxOAG,Complaint__c,true,false,false,false,true,false
1100B000007saywQAA,0PSU0000000OKzxOAG,Calibration__c,true,false,false,false,true,false
1100B000007sbOZQAY,0PS0B000000icCtWAI,Macro,true,false,false,false,false,false
1100B000007sbOaQAI,0PS0B000000icCtWAI,Pricebook2,true,false,false,false,false,false
1100B000007sbSqQAI,100U00000000paUIAQ,Address,true,true,false,false,false,false
1100B000007sbSrQAI,100U00000000paUIAQ,Location,true,true,false,false,false,false
1100B000007sbSsQAI,100U0000000Hb0mIAC,Address,true,true,true,true,true,true
1100B000007sbSvQAI,100U0000000Hb0mIAC,ProductItem,true,true,true,true,true,true
