Id,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c
a065b00000cnEknAAE,"Tampa, FL","Tampa, FL",TPA | FG | 110 | J4,2026-04-10,#N/A
a065b00000bnuG1AAI,"Tampa, FL","Tampa, FL",TPA | FG | 110 | J2,2026-04-10,#N/A
a065b00000bnr5cAAA,"Tampa, FL","Tampa, FL",TPA | FG | 105 | C1,2026-04-10,#N/A
a06Ro00000PnZJBIA3,"Tampa, FL","Tampa, FL",TPA | FG | 100 | E1,2026-04-10,#N/A
a065b00000k0CKNAA2,"Tampa, FL","Tampa, FL",TPA | FG | 100 | C1,2026-04-10,#N/A
a064O00001UbNOHQA3,"Tampa, FL","Tampa, FL",TPA | FG | 100 | H2,2026-04-10,#N/A
a06Ro00000gwnzRIAQ,"Tampa, FL",#N/A,FG | TPA | 125 | G5,2026-07-20,#N/A
a065b00000bnC8oAAE,"Tampa, FL","Tampa, FL",TPA | FG | 130 | A1,2026-04-10,#N/A
a064O00001Ulnl4QAB,"Tampa, FL","Tampa, FL",TPA | FG | 125 | B3,2026-04-10,#N/A
a06Ro00000fsQynIAE,"Tampa, FL",Final Tested - Pending FG,FG | TPA | 120 | K3,2026-07-15,#N/A
a06Ro00000fOnrBIAS,"Tampa, FL",Final Tested - Pending FG,#N/A,#N/A,#N/A
a06Ro000007N1x6IAC,"Tampa, FL","Tampa, FL",TPA | FG | 130 | C1,2026-04-10,#N/A
a064O00001UbNPtQAN,"Tampa, FL","Tampa, FL",TPA | FG | 130 | A2,2026-04-10,#N/A
a065b00000bna53AAA,"Tampa, FL","Tampa, FL",TPA | FG | 125 | A5,2026-04-10,#N/A
a065b00000bnjGxAAI,"Tampa, FL","Tampa, FL",TPA | FG | 125 | E5,2026-04-10,#N/A
a06Ro00000i6MxNIAU,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a065b00000gSNs4AAG,"Tampa, FL","Tampa, FL",TPA | FG | 120 | F3,2026-04-10,#N/A
a065b00000gSNCvAAO,"Tampa, FL","Tampa, FL",TPA | FG | 115 | K5,2026-04-10,#N/A
a065b00000conoUAAQ,"Tampa, FL","Tampa, FL",TPA | FG | 115 | H5,2026-04-10,#N/A
a06Ro00000dPV3nIAG,"Tampa, FL","Tampa, FL",TPA | FG | 115 | H3,2026-05-07,#N/A
a065b00000gRNnHAAW,"Tampa, FL","Tampa, FL",TPA | FG | 125 | A2,2026-04-10,#N/A
a065b00000bnCK6AAM,"Tampa, FL","Tampa, FL",TPA | FG | 125 | C5,2026-04-10,#N/A
a065b00000bnUCuAAM,"Tampa, FL","Tampa, FL",TPA | FG | 120 | C4,2026-04-10,#N/A
a065b00000conDFAAY,"Tampa, FL","Tampa, FL",TPA | FG | 115 | J3,2026-04-10,#N/A
a06Ro00000EUNwpIAH,"Tampa, FL","Tampa, FL",TPA | FG | 115 | G4,2026-04-10,#N/A
a06Ro00000hnUXGIA2,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a06Ro00000JnvlRIAR,"Tampa, FL","Tampa, FL",TPA | FG | 115 | E4,2026-04-10,#N/A
a06Ro00000LqDbNIAV,"Tampa, FL","Tampa, FL",TPA | FG | 115 | E3,2026-04-10,#N/A
a065b00000bnVvuAAE,"Tampa, FL","Tampa, FL",TPA | FG | 115 | B2,2026-04-10,#N/A
a064O00001UlNinQAF,"Tampa, FL","Tampa, FL",TPA | FG | 115 | B1,2026-04-10,#N/A
a06Ro00000QtVnNIAV,"Tampa, FL","Tampa, FL",TPA | FG | 110 | K4,2026-04-10,#N/A
a06Ro00000cNUAoIAO,"Tampa, FL","Tampa, FL",TPA | FG | 110 | J1,2026-04-21,#N/A
a065b00000gSFPnAAO,"Tampa, FL","Tampa, FL",TPA | FG | 110 | H3,2026-04-10,#N/A
a06Ro000008s2jNIAQ,"Tampa, FL","Tampa, FL",TPA | FG | 110 | G5,2026-04-10,#N/A
a06Ro00000hsMNlIAM,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a06Ro00000ENjlzIAD,"Tampa, FL","Tampa, FL",TPA | FG | 110 | E5,2026-04-10,#N/A
a06Ro00000N682VIAR,"Tampa, FL","Tampa, FL",TPA | FG | 110 | K5,2026-04-10,#N/A
a06Ro0000092bntIAA,"Tampa, FL","Tampa, FL",TPA | FG | 110 | J5,2026-04-10,#N/A
a06Ro00000V9ZuNIAV,"Tampa, FL","Tampa, FL",TPA | FG | 105 | K4,2026-04-10,#N/A
a065b00000bnjJtAAI,"Tampa, FL","Tampa, FL",TPA | FG | 105 | J2,2026-04-10,#N/A
a06Ro00000PTfNyIAL,Tampa,#N/A,FG | TPA | 105 | H2,2026-06-04,#N/A
a06Ro00000fNVptIAG,"Tampa, FL",SHIPPING,#N/A,#N/A,#N/A
a06Ro00000WnwI9IAJ,"Tampa, FL","Tampa, FL",TPA | FG | 105 | F1,2026-04-10,#N/A
a06Ro00000I4MqnIAF,"Tampa, FL",#N/A,FG | TPA | 110 | C4,2026-07-20,#N/A
a064O00001UbNHMQA3,"Tampa, FL","Tampa, FL",TPA | FG | 110 | C2,2026-04-10,#N/A
a06Ro00000hn9fhIAA,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a065b00000bnr9KAAQ,"Tampa, FL","Tampa, FL",TPA | FG | 110 | A4,2026-04-10,#N/A
a06Ro00000ZWqKNIA1,Tampa,#N/A,#N/A,#N/A,#N/A
a06Ro00000fNU2bIAG,Shipping,#N/A,Shipping,2026-06-19,#N/A
a065b00000cnjikAAA,"Tampa, FL","Tampa, FL",TPA | FG | 105 | E2,2026-04-10,#N/A
a06Ro00000NzB2wIAF,"Tampa, FL","Tampa, FL",TPA | FG | 105 | C1,2026-04-10,#N/A
a06Ro00000ZnEQiIAN,"Tampa, FL","Tampa, FL",TPA | FG | 105 | C2,2026-04-10,#N/A
a064O00001WfknGQAR,"Tampa, FL","Tampa, FL",TPA | FG | 100 | E2,2026-04-10,#N/A
a06Ro00000NrL98IAF,"Tampa, FL","Tampa, FL",TPA | FG | 105 | H1,2026-04-10,#N/A
a06Ro00000G6neLIAR,"Tampa, FL","Tampa, FL",TPA | FG | 105 | E1,2026-04-10,#N/A
a065b00000bnHdbAAE,"Tampa, FL","Tampa, FL",TPA | FG | 100 | G2,2026-04-10,#N/A
a064O00001UbPRNQA3,"Tampa, FL","Tampa, FL",TPA | FG | 100 | H1,2026-04-10,#N/A
a06Ro00000gW8dNIAS,"Tampa, FL",#N/A,FG | TPA | 100 | E2,2026-07-15,#N/A
a06Ro00000j2GTNIA2,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a06Ro00000hPPDnIAO,"Tampa, FL",#N/A,FG | TPA | 100 | H1,2026-07-22,#N/A
a064O00001UUXONQA5,"Tampa, FL","Tampa, FL",TPA | FG | 130 | C5,2026-04-10,#N/A
a06Ro00000Rqn0HIAR,"Tampa, FL","Tampa, FL",TPA | FG | 130 | C2,2026-04-10,#N/A
a065b00000bnE3LAAU,"Tampa, FL","Tampa, FL",TPA | FG | 125 | B5,2026-04-10,#N/A
a06Ro00000h6HNDIA2,"Tampa, FL",Final Tested - Pending FG,#N/A,#N/A,#N/A
a06Ro000006wNvGIAU,"Tampa, FL","Tampa, FL",TPA | FG | 130 | B4,2026-04-10,#N/A
a06Ro00000NtNd5IAF,Tampa,FG02E2A,#N/A,2025-12-11,#N/A
a064O00001UUNVAQA5,"Tampa, FL","Tampa, FL",TPA | FG | 125 | A4,2026-04-10,#N/A
a06Ro00000iqNaIIAU,"Tampa, FL",Final Tested - Pending FG,#N/A,#N/A,#N/A
a065b00000gSL2nAAG,"Tampa, FL","Tampa, FL",TPA | FG | 135B1,2026-04-10,#N/A
a06Ro00000hHnhuIAC,"Tampa, FL",Final Tested - Pending FG,FG | TPA | 130 | K4,#N/A,#N/A
a06Ro00000IASGnIAP,"Tampa, FL","Tampa, FL",TPA | FG | 130 | G3,2026-04-10,#N/A
a065b00000k03nkAAA,"Tampa, FL",WIP01/SYSTEMS,#N/A,2024-01-01,#N/A
a06Ro00000dBZnCIAW,Tampa,Check-In,#N/A,#N/A,#N/A
a06Ro00000NCTygIAH,"Tampa, FL","Tampa, FL",TPA | FG | 130 | H2,2026-04-10,#N/A
a065b00000dUN8ZAAW,"Tampa, FL","Tampa, FL",TPA | FG | 130 | G3,2026-04-10,#N/A
a06Ro00000cndn7IAA,Customer Loan / Demo,WIP/Trophon,Customer Loan / Demo,#N/A,#N/A
a06Ro00000KpnWGIAZ,Tampa,WIP Portable Rack 2,Shipping,#N/A,#N/A
a06Ro00000dv9cnIAA,"Tampa, FL",Check-In,#N/A,#N/A,#N/A
a065b00000k0KNFAA2,Tampa,RENTAL,On Rental,2025-01-07,#N/A
a065b00000cpNGvAAM,Tampa,RENTAL,#N/A,2025-12-11,#N/A
a065b00000gAWNCAA4,"Tampa, FL",#N/A,TPA | NC | 235 | B3,2026-04-15,#N/A
a06Ro00000J4nnEIAR,"Tampa, FL","Tampa, FL",TPA | NC | 225 | E1,2026-08-05,#N/A
a06Ro00000YNWmnIAH,"Tampa, FL",#N/A,TPA | NC | 215 | B2,2026-08-05,#N/A
a06Ro00000VWHn3IAH,"Tampa, FL",WIP01/SYSTEMS,#N/A,2025-12-10,#N/A
a065b00000cnU6QAAU,Tampa,RENTAL,#N/A,2025-12-11,#N/A
a06Ro000009SNVxIAO,"Tampa, FL","Tampa, FL",TPA | NC | 225 | E5,2026-08-05,#N/A
a065b00000gAY1nAAG,Tampa,WIP/KWHYBREW,Customer Loan / Demo,2025-12-11,#N/A
a06Ro00000fCl6nIAC,"Tampa, FL",#N/A,TPA | NC | 225 | A4,2026-08-05,#N/A
a06Ro00000hINNBIA4,"Tampa, FL",WIP/EBALLARD,TPA | NC | 215 | D3,2026-08-05,#N/A
a06Ro00000Zx1n7IAB,"Tampa, FL",WIP07A3B,TPA | NC | 215 | B3,2026-08-05,#N/A
a06Ro00000N3YslIAF,"Tampa, FL","Tampa, FL",TPA | NC | 210 | A2,2026-08-05,#N/A
a06Ro00000eSNYvIAO,"Tampa, FL",#N/A,TPA | NC | 205 | D2,2026-08-05,#N/A
a06Ro00000UDonJIAT,"Tampa, FL","Tampa, FL",TPA | NC | 225 | A4,2026-08-05,#N/A
a06Ro00000WrDsnIAF,"Tampa, FL","Tampa, FL",TPA | NC | 225 | A3,2026-08-05,#N/A
a06Ro00000NKRV5IAP,"Tampa, FL","Tampa, FL",TPA | NC | 215 | C1,2026-08-05,#N/A
a06Ro00000FYANiIAP,"Tampa, FL","Tampa, FL",TPA | NC | 210 | C4,2026-08-05,#N/A
a06Ro00000XENplIAH,"Tampa, FL","Tampa, FL",TPA | WIP | 215 | E4,2026-04-30,#N/A
a065b00000bn314AAA,"Tampa, FL","Tampa, FL",TPA | FG | 135 | H2,2026-04-10,#N/A
a06Ro00000NnMWoIAN,"Tampa, FL","Tampa, FL",TPA | NC | 205 | D3,2026-08-05,#N/A
a06Ro00000QNkmLIAT,"Tampa, FL","Tampa, FL",TPA | NC | 205 | A2,2026-08-05,#N/A
a06Ro00000Vn2hxIAB,"Tampa, FL",WIP01/SYSTEMS,TPA | FG | 160,2025-12-10,#N/A
a065b00000coORnAAM,"Tampa, FL","Tampa, FL",TPA | WIP | 200,2025-12-11,#N/A
a06Ro00000enGhJIAU,"Tampa, FL",WIP01/SYSTEMS,#N/A,2026-08-14,#N/A
a06Ro00000hrn6hIAA,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a06Ro00000afwBNIAY,Tampa,FG01/SYSTEMS,#N/A,#N/A,#N/A
a06Ro00000VBoHNIA1,"Tampa, FL","Tampa, FL",TPA | FG | 135 | J3,2026-04-10,#N/A
a065b00000bnrkjAAA,"Tampa, FL","Tampa, FL",TPA | FG | 135 | H2,2026-04-10,#N/A
a06Ro00000NxUCvIAN,Tampa,FG/PRB/04F1,#N/A,2025-12-11,#N/A
a065b00000bnuFcAAI,"Tampa, FL","Tampa, FL",TPA | FG | 135 | H1,2026-04-10,#N/A
a065b00000dUN5eAAG,"Tampa, FL","Tampa, FL",TPA | FG | 135 | C4,2026-04-10,#N/A
a065b00000bnU52AAE,"Tampa, FL","Tampa, FL",TPA | FG | 135 | C3,2026-04-10,#N/A
a06Ro00000SXhneIAD,"Tampa, FL","Tampa, FL",TPA | FG | 135 | F3,2026-04-10,#N/A
a065b00000bniKSAAY,"Tampa, FL","Tampa, FL",TPA | FG | 135 | J2,2026-04-10,#N/A
a065b00000cnjhhAAA,"Tampa, FL","Tampa, FL",TPA | FG | 105 | E2,2026-04-10,#N/A
a06Ro00000g5drnIAA,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a065b00000bnPyFAAU,"Tampa, FL","Tampa, FL",TPA | FG | 125 | J2,2026-04-10,#N/A
a06Ro00000dnuc5IAA,"Tampa, FL",Final Tested - Pending FG,#N/A,2026-05-14,#N/A
a06Ro00000i3JsnIAE,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a06Ro00000iBdCnIAK,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a065b00000bnmHQAAY,"Tampa, FL","Tampa, FL",TPA | FG | 110J3,2026-04-10,#N/A
a06Ro00000IQ1nhIAD,"Tampa, FL","Tampa, FL",TPA | FG | 115 | J2,2026-04-10,#N/A
a06Ro00000ean4pIAA,"Tampa, FL","Tampa, FL",TPA | FG | 120 | F2,#N/A,#N/A
a06Ro00000FjsLNIAZ,"Tampa, FL","Tampa, FL",TPA | FG | 125 | B5,2026-04-10,#N/A
a06Ro00000ZnNnKIAV,"Tampa, FL","Tampa, FL",TPA | FG | 120K4,2026-04-10,#N/A
a065b00000bnmn3AAA,"Tampa, FL","Tampa, FL",TPA | FG | 110H3,2026-04-10,#N/A
a065b00000bnmHfAAI,"Tampa, FL","Tampa, FL",TPA | FG | 115J5,2026-04-10,#N/A
a065b00000e0N5OAAU,"Tampa, FL",#N/A,FG | TPA | 115 | K3,2026-07-22,#N/A
a06Ro00000hnsJRIAY,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a065b00000cp5dnAAA,"Tampa, FL","Tampa, FL",TPA | FG | 120 | A3,2026-04-10,#N/A
a06Ro00000gHeNRIA0,"Tampa, FL",Final Tested - Pending FG,FG | TPA | 130 | B1,2026-07-15,#N/A
a064O00001UlQfNQAV,"Tampa, FL","Tampa, FL",TPA | FG | 125 | C2,2026-04-10,#N/A
a064O00001UlFN4QAN,"Tampa, FL","Tampa, FL",TPA | FG | 130 | H4,2026-04-10,#N/A
a065b00000bnMl7AAE,"Tampa, FL","Tampa, FL",TPA | FG | 130 | E1,2026-04-10,#N/A
a065b00000jq1YNAAY,Tampa,FG/PRB/01C2,Coils,2026-04-15,#N/A
a06Ro00000PVNbRIAX,"Tampa, FL","Tampa, FL",TPA | FG | 120 | F2,2026-04-10,#N/A
a06Ro00000WkNOzIAN,"Tampa, FL","Tampa, FL",TPA | FG | 120 | E3,2026-04-10,#N/A
a06Ro00000MPmnxIAD,"Tampa, FL","Tampa, FL",TPA | FG | 120 | B2,2026-04-10,#N/A
a06Ro00000hnEylIAE,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a06Ro00000i6MnhIAE,"Tampa, FL",#N/A,#N/A,#N/A,#N/A
a06Ro00000RDnpnIAD,"Tampa, FL",Final Tested - Pending FG,FG | TPA | 125 | F2,2025-12-11,#N/A
a065b00000bnoaKAAQ,"Tampa, FL","Tampa, FL",TPA | FG | 125 | J2,2026-04-10,#N/A
a06Ro00000h2NZFIA2,"Tampa, FL",Final Tested - Pending FG,#N/A,#N/A,#N/A
a06Ro00000iaNj7IAE,"Tampa, FL",WIP01/SYSTEMS,#N/A,#N/A,#N/A
a06Ro00000dANPtIAO,"Tampa, FL",REFURB,TPA | FG | 110 | E3,2026-05-07,#N/A
a06Ro00000fjKMNIA2,"Tampa, FL",Final Tested - Pending FG,TPA | NC | 200 | E4,2026-08-05,#N/A
a065b00000bnImDAAU,"Tampa, FL","Tampa, FL",TPA | FG | 115 | B1,2026-04-10,#N/A
a065b00000bnDtBAAU,"Tampa, FL","Tampa, FL",TPA | FG | 125 | C3,2026-04-10,#N/A
a06Ro00000CQp4nIAD,"Tampa, FL","Tampa, FL",TPA | FG | 110 | C2,2026-04-10,#N/A
a065b00000conTJAAY,"Tampa, FL","Tampa, FL",TPA | FG | 115 | H4,2026-04-10,#N/A
a06Ro00000NegmYIAR,"Tampa, FL","Tampa, FL",TPA | FG | 115 | C2,2026-04-10,#N/A
a06Ro00000g77pNIAQ,"Tampa, FL",SHIPPING,FG | TPA | 120 | G4,#N/A,#N/A
a06Ro00000eb5zNIAQ,"Tampa, FL","Tampa, FL",TPA | FG | 120 | E2,#N/A,#N/A
a065b00000bnHPwAAM,"Tampa, FL","Tampa, FL",TPA | FG | 120 | C3,2026-04-10,#N/A
