Id,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c
a065b00000bnr5cAAA,"Tampa, FL",#N/A,TPA | FG | 105 | C1,2026-08-17,2026-08-17
a06Ro00000PnZJBIA3,"Tampa, FL",#N/A,TPA | FG | 100 | E1,2026-08-17,2026-08-17
a065b00000k0CKNAA2,"Tampa, FL",#N/A,TPA | FG | 100 | C1,2026-08-17,2026-08-17
a064O00001UbNOHQA3,"Tampa, FL",#N/A,TPA | FG | 100 | H2,2026-08-17,2026-08-17
a065b00000bnC8oAAE,"Tampa, FL",#N/A,TPA | FG | 130 | A1,2026-08-17,2026-08-17
a064O00001Ulnl4QAB,"Tampa, FL",#N/A,TPA | FG | 125 | B3,2026-08-17,2026-08-17
a06Ro000007N1x6IAC,"Tampa, FL",#N/A,TPA | FG | 130 | C1,2026-08-17,2026-08-17
a064O00001UbNPtQAN,"Tampa, FL",#N/A,TPA | FG | 130 | A2,2026-08-17,2026-08-17
a065b00000bna53AAA,"Tampa, FL",#N/A,TPA | FG | 125 | A5,2026-08-17,2026-08-17
a065b00000bnjGxAAI,"Tampa, FL",#N/A,TPA | FG | 125 | E5,2026-08-17,2026-08-17
a065b00000gSNs4AAG,"Tampa, FL",#N/A,TPA | FG | 120 | F3,2026-08-17,2026-08-17
a065b00000gSNCvAAO,"Tampa, FL",#N/A,TPA | FG | 115 | K5,2026-08-17,2026-08-17
a065b00000conoUAAQ,"Tampa, FL",#N/A,TPA | FG | 115 | H5,2026-08-17,2026-08-17
a06Ro00000dPV3nIAG,"Tampa, FL",#N/A,TPA | FG | 115 | H3,2026-08-17,2026-08-17
a065b00000gRNnHAAW,"Tampa, FL",#N/A,TPA | FG | 125 | A2,2026-08-17,2026-08-17
a065b00000bnCK6AAM,"Tampa, FL",#N/A,TPA | FG | 125 | C5,2026-08-17,2026-08-17
a065b00000bnUCuAAM,"Tampa, FL",#N/A,TPA | FG | 120 | C4,2026-08-17,2026-08-17
a065b00000conDFAAY,"Tampa, FL",#N/A,TPA | FG | 115 | J3,2026-08-17,2026-08-17
a06Ro00000EUNwpIAH,"Tampa, FL",#N/A,TPA | FG | 115 | G4,2026-08-17,2026-08-17
a06Ro00000hnUXGIA2,"Tampa, FL",#N/A,TPA | FG | 115 | G3,2026-08-17,2026-08-17
a06Ro00000JnvlRIAR,"Tampa, FL",#N/A,TPA | FG | 115 | E4,2026-08-17,2026-08-17
a06Ro00000LqDbNIAV,"Tampa, FL",#N/A,TPA | FG | 115 | E3,2026-08-17,2026-08-17
a065b00000bnVvuAAE,"Tampa, FL",#N/A,TPA | FG | 115 | B2,2026-08-17,2026-08-17
a064O00001UlNinQAF,"Tampa, FL",#N/A,TPA | FG | 115 | B1,2026-08-17,2026-08-17
a06Ro00000QtVnNIAV,"Tampa, FL",#N/A,TPA | FG | 110 | K4,2026-08-17,2026-08-17
a06Ro00000cNUAoIAO,"Tampa, FL",#N/A,TPA | FG | 110 | J1,2026-08-17,2026-08-17
a065b00000gSFPnAAO,"Tampa, FL",#N/A,TPA | FG | 110 | H3,2026-08-17,2026-08-17
a06Ro000008s2jNIAQ,"Tampa, FL",#N/A,TPA | FG | 110 | G5,2026-08-17,2026-08-17
a06Ro00000hsMNlIAM,"Tampa, FL",#N/A,TPA | FG | 110 | B3,2026-08-17,2026-08-17
a06Ro00000ENjlzIAD,"Tampa, FL",#N/A,TPA | FG | 110 | E5,2026-08-17,2026-08-17
a06Ro00000N682VIAR,"Tampa, FL",#N/A,TPA | FG | 110 | K5,2026-08-17,2026-08-17
a06Ro0000092bntIAA,"Tampa, FL",#N/A,TPA | FG | 110 | J5,2026-08-17,2026-08-17
a06Ro00000V9ZuNIAV,"Tampa, FL",#N/A,TPA | FG | 105 | K4,2026-08-17,2026-08-17
a065b00000bnjJtAAI,"Tampa, FL",#N/A,TPA | FG | 105 | J2,2026-08-17,2026-08-17
a06Ro00000fNVptIAG,"Tampa, FL",#N/A,TPA | FG | 105 | G4,2026-08-17,2026-08-17
a06Ro00000WnwI9IAJ,"Tampa, FL",#N/A,TPA | FG | 105 | F1,2026-08-17,2026-08-17
a06Ro00000I4MqnIAF,"Tampa, FL",#N/A,TPA | FG | 110 | C4,2026-08-17,2026-08-17
a064O00001UbNHMQA3,"Tampa, FL",#N/A,TPA | FG | 110 | C2,2026-08-17,2026-08-17
a06Ro00000hn9fhIAA,"Tampa, FL",#N/A,TPA | FG | 110 | B2,2026-08-17,2026-08-17
a065b00000bnr9KAAQ,"Tampa, FL",#N/A,TPA | FG | 110 | A4,2026-08-17,2026-08-17
a06Ro00000ZWqKNIA1,"Tampa, FL",#N/A,TPA | FG | 105 | G4,2026-08-17,2026-08-17
a06Ro00000fNU2bIAG,"Tampa, FL",#N/A,TPA | FG | 105 | F4,2026-08-17,2026-08-17
