Id,Name,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c,LastModifiedDate
a064O00001UTy4nQAD,110931,"Tampa, FL","Tampa, FL",TPA | FG | 110 | E2,2026-04-10,,2026-06-19T15:04:04.000+0000
a064O00001UU9NbQAL,112930,"Tampa, FL","Tampa, FL",TPA | FG | 135 | B3,2026-04-10,,2026-06-19T15:04:51.000+0000
a064O00001UUBDnQAP,113174,"Tampa, FL","Tampa, FL",TPA | FG | 115 | G4,2026-04-10,,2026-06-19T15:04:56.000+0000
a064O00001UUInhQAH,114159,"Tampa, FL","Tampa, FL",TPA | FG | 120 | A5,2026-04-10,,2026-06-19T15:05:20.000+0000
a064O00001UUM8nQAH,114741,"Tampa, FL","Tampa, FL",TPA | FG | 115 | H3,2026-04-10,,2026-06-19T15:05:35.000+0000
a064O00001UUNHMQA5,114941,"Tampa, FL","Tampa, FL",TPA | FG | 125 | C2,2026-04-10,,2026-06-19T15:05:39.000+0000
a064O00001UUSYnQAP,115760,"Tampa, FL","Tampa, FL",TPA | FG | 100 | F3,2026-04-10,,2026-06-19T15:05:58.000+0000
a064O00001UUXNyQAP,116816,"Tampa, FL","Tampa, FL",TPA | FG | 125 | C4,2026-04-10,,2026-06-19T15:06:24.000+0000
a064O00001UUZ2nQAH,117087,"Tampa, FL","Tampa, FL",TPA | FG | 110 | H4,2026-04-10,,2026-06-19T15:06:29.000+0000
a064O00001UUkn5QAD,119064,"Tampa, FL","Tampa, FL",TPA | FG | 105 | J2,2026-04-10,,2026-06-19T15:07:13.000+0000
a064O00001UbNHLQA3,108230,"Tampa, FL","Tampa, FL",TPA | FG | 135 | B2,2026-04-10,,2026-06-19T15:14:11.000+0000
a064O00001UbNNsQAN,108301,"Tampa, FL","Tampa, FL",TPA | FG | 100 | H1,2026-04-10,,2026-06-19T15:14:12.000+0000
a064O00001UbNRpQAN,108338,"Tampa, FL","Tampa, FL",TPA | FG | 100 | F4,2026-04-10,,2026-06-19T15:14:13.000+0000
a064O00001UbNRuQAN,108339,"Tampa, FL","Tampa, FL",TPA | FG | 135 | G2,2026-04-10,,2026-06-19T15:14:13.000+0000
a064O00001UbTGnQAN,108899,"Tampa, FL","Tampa, FL",TPA | FG | 125 | B1,2026-04-10,,2026-06-19T15:14:25.000+0000
a064O00001Ul4KnQAJ,120024,"Tampa, FL","Tampa, FL",TPA | FG | 120 | B2,2026-04-10,,2026-06-19T15:16:24.000+0000
a064O00001Ul8nUQAR,120708,"Tampa, FL","Tampa, FL",TPA | FG | 135 | F2,2026-04-10,,2026-06-19T15:16:39.000+0000
a064O00001UlCHnQAN,121284,"Tampa, FL","Tampa, FL",TPA | FG | 125 | E5,2026-04-10,,2026-06-19T15:16:53.000+0000
a064O00001UlEZnQAN,121680,"Tampa, FL","Tampa, FL",TPA | FG | 115 | H3,2026-04-10,,2026-06-19T15:17:03.000+0000
a064O00001Ulnl9QAB,126653,"Tampa, FL","Tampa, FL",TPA | FG | 125 | B1,2026-04-10,,2026-06-19T15:18:59.000+0000
a064O00001UlnqUQAR,126668,"Tampa, FL","Tampa, FL",TPA | FG | 110 | H3,2026-04-10,,2026-06-19T15:18:59.000+0000
a064O00001UlnupQAB,126708,"Tampa, FL","Tampa, FL",TPA | FG | 105 | J1,2026-04-10,,2026-06-19T15:19:00.000+0000
a064O00001UlwsnQAB,128126,"Tampa, FL","Tampa, FL",TPA | FG | 100 | J3,2026-04-10,,2026-06-19T15:19:35.000+0000
a064O00001WfknpQAB,131199,"Tampa, FL","Tampa, FL",TPA | FG | 100 | E2,2026-04-10,,2026-06-19T15:20:55.000+0000
a064O00001Wfn0oQAB,131509,"Tampa, FL","Tampa, FL",TPA | FG | 110A5,2026-04-10,,2026-06-19T15:21:03.000+0000
a064O00001Wg3pnQAB,134615,Tampa,RENTAL,,2025-12-11,,2026-06-19T15:22:20.000+0000
a065b00000blNwtAAE,136776,"Tampa, FL","Tampa, FL",TPA | FG | 120 | B2,2026-04-10,,2026-06-19T15:23:14.000+0000
a065b00000blNz4AAE,136777,"Tampa, FL","Tampa, FL",TPA | FG | 125 | B4,2026-04-10,,2026-06-19T15:23:14.000+0000
a065b00000blvNZAAY,138846,Tampa,FG01/SYSTEMS,,2025-12-10,,2026-06-19T15:24:02.000+0000
