Id,Name,Stock_Checked__c,Inventory_Count_Date__c,Location__c,LastModifiedDate
a06Ro00000CO5BOIA1,327416,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:25.000+0000
a06Ro00000CO5HfIAL,327525,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:25.000+0000
a06Ro00000CO5sXIAT,328891,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:26.000+0000
a06Ro00000CO5rUIAT,329406,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:28.000+0000
a06Ro00000CO76UIAT,331300,2026-08-04,2026-08-04,Scrap,2026-08-17T19:25:28.000+0000
a06Ro00000CO5ekIAD,332596,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:30.000+0000
a06Ro00000CO7pmIAD,333078,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:30.000+0000
a06Ro00000CO7uNIAT,333183,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:30.000+0000
a06Ro00000CO6sQIAT,334238,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:30.000+0000
a06Ro00000CO8kBIAT,337125,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:31.000+0000
a06Ro00000CO9HrIAL,338253,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:31.000+0000
a06Ro00000CO3g3IAD,338407,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:31.000+0000
a06Ro00000CO7sMIAT,340068,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:31.000+0000
a06Ro00000CO5k2IAD,341520,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:32.000+0000
a06Ro00000CO5k3IAD,341521,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:32.000+0000
a06Ro00000CO5YsIAL,344137,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:36.000+0000
a06Ro00000CNzPIIA1,344289,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:36.000+0000
a06Ro00000COC4wIAH,350450,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:38.000+0000
a06Ro00000COC52IAH,350456,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:38.000+0000
a06Ro00000CO5sSIAT,352068,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:40.000+0000
a06Ro00000Drl6uIAB,365074,2026-08-04,2026-08-04,Consumed,2026-08-17T19:25:43.000+0000
a06Ro00000GPN3RIAX,383119,2026-08-12,2026-08-04,Shipping,2026-08-17T19:26:36.000+0000
a06Ro00000HWajLIAT,390465,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:44.000+0000
a06Ro00000ImwvQIAR,398845,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:44.000+0000
a06Ro00000K46zRIAR,406470,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:44.000+0000
a06Ro00000K4FTBIA3,406472,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:44.000+0000
a06Ro00000K4ABnIAN,406475,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:44.000+0000
a06Ro00000K4HmjIAF,406476,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:44.000+0000
a06Ro00000RkWTZIA3,449767,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:47.000+0000
a06Ro00000T2VtRIAV,456239,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:49.000+0000
a06Ro00000TTdlGIAT,458003,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:48.000+0000
a06Ro00000VpaduIAB,470125,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:50.000+0000
a06Ro00000WlXnhIAF,476030,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:50.000+0000
a06Ro00000YNVXOIA5,483550,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:51.000+0000
a06Ro00000YRPLNIA5,483788,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:51.000+0000
a06Ro00000aFGHVIA4,513266,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:51.000+0000
a06Ro00000ekJWrIAM,532133,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:53.000+0000
a06Ro00000elITtIAM,532161,2026-08-04,2026-08-04,Shipping,2026-08-17T19:24:30.000+0000
a06Ro00000fjLyLIAU,535967,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:54.000+0000
a06Ro00000fkPgXIAU,536027,2026-08-04,2026-08-04,Consumed,2026-08-17T19:24:30.000+0000
a06Ro00000hHk2TIAS,541764,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:54.000+0000
a06Ro00000hso8jIAA,544733,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:54.000+0000
a06Ro00000hsowjIAA,544736,2026-08-04,2026-08-04,Shipping,2026-08-17T19:25:54.000+0000
