Id,Name,Stock_Checked__c,Inventory_Count_Date__c,Location__c,Current_Location__c,Physical_Location__c
a06Ro00000CO5BOIA1,327416,2025-12-11,2025-03-26,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO5HfIAL,327525,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO5sXIAT,328891,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO5rUIAT,329406,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO76UIAT,331300,2025-12-11,2024-12-20,Scrap,Scrap,
a06Ro00000CO5ekIAD,332596,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO7pmIAD,333078,2025-12-11,2024-12-20,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000CO7uNIAT,333183,2025-12-11,2024-12-20,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000CO6sQIAT,334238,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO8kBIAT,337125,2025-12-11,2024-12-20,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000CO9HrIAL,338253,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO3g3IAD,338407,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO7sMIAT,340068,2025-12-11,2024-12-20,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000CO5k2IAD,341520,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO5k3IAD,341521,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO5YsIAL,344137,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CNzPIIA1,344289,2025-12-11,2024-12-20,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000COC4wIAH,350450,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000COC52IAH,350456,2025-12-11,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000CO5sSIAT,352068,2025-12-11,2024-12-20,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000Drl6uIAB,365074,2025-12-11,2024-12-20,Consumed,Consumed,
a06Ro00000GPN3RIAX,383119,2026-08-12,2024-12-20,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000HWajLIAT,390465,2025-12-11,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000ImwvQIAR,398845,2025-12-11,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000K46zRIAR,406470,2025-12-11,,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000K4FTBIA3,406472,2025-12-11,,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000K4ABnIAN,406475,2025-12-11,,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000K4HmjIAF,406476,2025-12-11,,Shipping,Shipping,"Milwaukee, WI"
a06Ro00000RkWTZIA3,449767,2025-12-11,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000T2VtRIAV,456239,2025-12-11,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000TTdlGIAT,458003,2025-12-11,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000VpaduIAB,470125,2025-12-10,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000WlXnhIAF,476030,2026-01-05,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000YNVXOIA5,483550,,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000YRPLNIA5,483788,,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000aFGHVIA4,513266,2026-03-20,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000ekJWrIAM,532133,,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000elITtIAM,532161,2026-05-28,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000fjLyLIAU,535967,2026-06-15,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000fkPgXIAU,536027,,,Consumed,Consumed,
a06Ro00000hHk2TIAS,541764,,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000hso8jIAA,544733,,,Shipping,Shipping,"Salt Lake City, UT"
a06Ro00000hsowjIAA,544736,,,Shipping,Shipping,"Salt Lake City, UT"
