"Id","Name","Stock_Checked__c","Inventory_Count_Date__c","Location__c","Current_Location__c","Physical_Location__c"
"a060B0000143rIMQAY","033780","","","Salt Lake City, UT","Salt Lake City, UT - Test - NC01A4",""
"a065b00000e14nrAAA","194028","2023-11-20","2024-12-20","Salt Lake City, UT","Shipping","Gloucester, UK"
"a06Ro00000B9IIjIAN","311094","","2025-12-12","Salt Lake City, UT","Salt Lake City, UT | Tom Wixom",""
"a06Ro00000BPaN1IAL","312490","","","Salt Lake City, UT","Jeffersonville, IN | Mezzanine J2-7 S01",""
"a06Ro00000BPeYgIAL","312489","","","Salt Lake City, UT","Salt Lake City, UT",""
"a06Ro00000BPmWCIA1","312491","","","Salt Lake City, UT","Salt Lake City, UT",""
"a06Ro00000BlGZ3IAN","314728","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT | Main A 05F","Salt Lake City, UT"
"a06Ro00000BlLYaIAN","320818","","","Salt Lake City, UT","Salt Lake City, UT | Main C 03B","Salt Lake City, UT"
"a06Ro00000CNRS7IAP","326739","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake, UT  - Main - B07E",""
"a06Ro00000CNRS9IAP","326741","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake, UT  - Main - B07E",""
"a06Ro00000CNRSAIA5","326742","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake, UT  - Main - B07E",""
"a06Ro00000CNRSBIA5","326743","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT | Main B 07E",""
"a06Ro00000CNRSCIA5","326744","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake, UT  - Main - B07E",""
"a06Ro00000CNRYVIA5","337407","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A3",""
"a06Ro00000CNRYWIA5","337408","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC08D1D",""
"a06Ro00000CNRYXIA5","337409","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC08D1D",""
"a06Ro00000CNRYYIA5","337410","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03C5",""
"a06Ro00000CNRYZIA5","337411","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Main D 06D",""
"a06Ro00000CNRYaIAP","337412","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Main D 06D",""
"a06Ro00000CNRYbIAP","337413","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03B5",""
"a06Ro00000CNRYcIAP","337414","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03B5",""
"a06Ro00000CNRYdIAP","337415","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03B5",""
"a06Ro00000CNRYeIAP","337416","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC02C5",""
"a06Ro00000CNRYfIAP","337417","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC04A5",""
"a06Ro00000CNRYgIAP","337418","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC04A5",""
"a06Ro00000CNRYhIAP","337419","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC04A5",""
"a06Ro00000CNRYiIAP","337420","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC04A5",""
"a06Ro00000CNRYjIAP","337421","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03B1",""
"a06Ro00000CNRYkIAP","337422","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03B1",""
"a06Ro00000CNRYlIAP","337423","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03B1",""
"a06Ro00000CNRYmIAP","337424","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03A2",""
"a06Ro00000CNRYnIAP","337425","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC03A2",""
"a06Ro00000CNRYpIAP","337427","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC04C1",""
"a06Ro00000CNRYqIAP","337428","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC04B4",""
"a06Ro00000CNRYrIAP","337429","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNRYsIAP","337430","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNRYtIAP","337431","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
"a06Ro00000CNRYuIAP","337432","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A1",""
