Id,DeveloperName,MasterLabel,NamespacePrefix
0CP0B000000Gn6FWAS,Trisonics_Users,Trisonics Users,
0CP0B000000KyuOWAS,Sales_Cloud_Engage_Perm,Sales Cloud Engage Perm,pi
0CP0B000000KyuPWAS,Sales_Edge_Custom_Permission,Sales Edge Custom Permission,pi
0CP0B000000TNCXWA4,Sobo,Send on behalf of another user in Engage Campaigns,pi
0CP0B000000TNCYWA4,Sobo_Team,Send on behalf of another user in Engage Campaigns using Account Teams,pi
0CP5b0000010we4GAA,ZoomInfo,ZoomInfo,DOZISF
0CPRo0000000wVROAY,Abort_Optimization_Request,Abort Optimization Request,FSL
0CPRo0000000wVSOAY,Bulk_Bundle,Bulk Bundle,FSL
0CPRo0000000wVTOAY,Bulk_Dispatch,Bulk Dispatch,FSL
0CPRo0000000wVUOAY,Bulk_Optimize,Bulk Optimize,FSL
0CPRo0000000wVVOAY,Bulk_Schedule,Bulk Schedule,FSL
0CPRo0000000wVWOAY,Bulk_Unbundle,Bulk Unbundle,FSL
0CPRo0000000wVXOAY,Bulk_Unschedule,Bulk Unschedule,FSL
0CPRo0000000wVYOAY,Bundle_Unbundle,Gantt and List - Bundle and Unbundle,FSL
0CPRo0000000wVZOAY,Create_Absences_from_Gantt,Create Absences from Gantt,FSL
0CPRo0000000wVaOAI,Create_custom_Gantt_filters,Create custom Gantt filters,FSL
0CPRo0000000wVbOAI,Enable_Bulk_Check_Rules,Gantt and List - Enable Bulk Check Rules,FSL
0CPRo0000000wVcOAI,Enable_Check_Rules,Gantt and List - Enable Check Rules,FSL
0CPRo0000000wVdOAI,Enable_Check_Rules_For_All_Services,Enable Check Rules - All Services,FSL
0CPRo0000000wVeOAI,Enable_Drag_And_Drop,Gantt and Map - Enable Drag And Drop,FSL
0CPRo0000000wVfOAI,Enable_Event_Resizing,Gantt - Enable Adjusting Duration,FSL
0CPRo0000000wVgOAI,Enable_Gantt_Locker,Gantt - Enable Gantt Locker,FSL
0CPRo0000000wVhOAI,Enable_Gantt_Policy_Picker,Gantt - Enable Gantt Policy Picker,FSL
0CPRo0000000wViOAI,Fill_in,Fill-in,FSL
0CPRo0000000wVjOAI,Fix_Overlaps,Fix Overlaps,FSL
0CPRo0000000wVkOAI,Gantt_Palettes_Edit,Gantt Palettes Edit,FSL
0CPRo0000000wVlOAI,Gantt_Palettes_View,Gantt Palettes View,FSL
0CPRo0000000wVmOAI,Group_Nearby,Group Nearby,FSL
0CPRo0000000wVnOAI,Hide_Actual_Routes_in_Service_Resource_Map,Hide Actual Routes from Resource Map,FSL
0CPRo0000000wVoOAI,Hide_Emergency_Wizard_Map,Hide map on Emergency Wizard,FSL
0CPRo0000000wVpOAI,Hide_Gantt_Last_Seen_Indicator,Hide Resource’s Last Seen Time from Gantt,FSL
0CPRo0000000wVqOAI,Hide_Live_Locations_Gantt_Map_Layer,Hide Live Positions from Dispatcher Console Map,FSL
0CPRo0000000wVrOAI,Hide_Live_Locations_Resource_Map_Layer,Hide Live Positions from Resource Map,FSL
0CPRo0000000wVsOAI,Keep_Scheduled,Include Keep Scheduled in Optimize Window,FSL
0CPRo0000000wVtOAI,Longterm_View,Longterm View,FSL
0CPRo0000000wVuOAI,MDT_View,MDT View,FSL
0CPRo0000000wVvOAI,Monthly_Utilization,Monthly Utilization,FSL
0CPRo0000000wVwOAI,Policy_Picker_In_Appointment_Booking,Policy Picker In Appointment Booking,FSL
0CPRo0000000wVxOAI,Policy_Picker_In_Get_Candidates,Policy Picker In Get Candidates,FSL
0CPRo0000000wVyOAI,Polygons_create_update,Polygons - create\update,FSL
0CPRo0000000wVzOAI,Polygons_view,Polygons - view,FSL
0CPRo0000000wW0OAI,Publish_custom_Gantt_filters,Publish custom Gantt filters,FSL
0CPRo0000000wW1OAI,Reshuffle,Reshuffle,FSL
0CPRo0000000wW2OAI,Resource_Schedule_Optimization,Resource Schedule Optimization,FSL
0CPRo0000000wW3OAI,Schedule,Schedule,FSL
0CPRo0000000wW4OAI,Service_List_Canceled,Service List View - Canceled,FSL
0CPRo0000000wW5OAI,Service_List_Contractors,Service List View - Contractors,FSL
0CPRo0000000wW6OAI,Service_List_Crews,Service List View - Crews,FSL
0CPRo0000000wW7OAI,Service_List_Exclude_Bundle_Members,Service List View - Exclude Bundle Members,FSL
0CPRo0000000wW8OAI,Service_List_Flagged,Service List View - Flagged,FSL
0CPRo0000000wW9OAI,Service_List_Gantt,Service List View - Gantt,FSL
0CPRo0000000wWAOAY,Service_List_In_Jeopardy,Service List View - In Jeopardy,FSL
0CPRo0000000wWBOAY,Service_List_Rule_Violating,Service List View - Rule Violating,FSL
0CPRo0000000wWCOAY,Service_List_Scheuled,Service List View - Scheduled,FSL
0CPRo0000000wWDOAY,Service_List_Selected,Service List View - Selected,FSL
