DurableId,QualifiedApiName,Label
ContentWorkspaceDoc,ContentWorkspaceDoc,Library Document
GoogleDoc,GoogleDoc,Google Doc
PushTopic,PushTopic,Push Topic
Topic,Topic,Topic
EngagementTopic,EngagementTopic,Engagement Topic
DataAssessmentMetric,DataAssessmentMetric,Data Assessment Metric
DataAssessmentFieldMetric,DataAssessmentFieldMetric,Data Assessment Field Metric
DataAssessmentValueMetric,DataAssessmentValueMetric,Data Assessment Field Value Metric
ScorecardMetric,ScorecardMetric,Scorecard Metric
OrgMetric,OrgMetric,Org Metric
MLModelMetric,MLModelMetric,ML Model Metric
MobileSecurityUserMetric,MobileSecurityUserMetric,Mobile Security User Metric
PlatformEventUsageMetric,PlatformEventUsageMetric,Platform Event Usage Metric
ConvDefDialogDailyMetric,ConvDefDialogDailyMetric,Conversation Definition Dialog Daily Metric
ConvDefDialogHourlyMetric,ConvDefDialogHourlyMetric,Conversation Definition Dialog Hourly Metric
NetworkFeedResponseMetric,NetworkFeedResponseMetric,Network Feed Response Metric
ActiveFeatureLicenseMetric,ActiveFeatureLicenseMetric,Active Feature License Metric
ActivePermSetLicenseMetric,ActivePermSetLicenseMetric,Active Permission Set License Metric
ActiveProfileMetric,ActiveProfileMetric,Active Profile Metric
ConvDefSessionMetric,ConvDefSessionMetric,Conversation Definition Session Metric
MlFeatureValueMetric,MlFeatureValueMetric,ML Feature Value Metric
RecordActnSelItemExtrc,RecordActnSelItemExtrc,Record Action Selectable Item Extract
SvcProcProdCatgProdExtrc,SvcProcProdCatgProdExtrc,Service Process Product Category Product Extract
AnalyticsDashboardViewSpec,AnalyticsDashboardViewSpec,Analytics Dashboard Custom View Spec
01IU0000000CMFU,abc__c,abc
01I0B000000xO99,cloudx_cms__SS_Carousel_Slide__c,Carousel Slide
01I0B000000xO9A,cloudx_cms__SS_Carousel__c,Carousel
01IU0000000CWz8,Product_Repair__c,Product Repair
01IU0000000t8fI,Move_Location__c,Move Location
01IU0000000ocuk,RingCentral__KeyStorage__c,KeyStorage
01IU0000000oYvo,ProductItem__c,Asset2
01I4O000000pDYO,Vendor_Sourcing__c,Vendor Sourcing
01I0B000000xOR8,Work_Order__c,Shop Work Order
01I0B000000xPjr,Ratings__c,Rating
01I0B000000xQTp,Sourcing_Request_Item__c,Sourcing Request Item
01I0B000000xR98,pandadoc__DocStatus__c,Doc Status
01I0B000000xR99,pandadoc__PandaDocDocument__c,PandaDoc Document
01I0B000000xR9A,pandadoc__PandaDocLog__c,PandaDoc Log
01I0B000000xR9B,pandadoc__PandaDoc_JsonBulder_Mapping__c,PandaDoc JsonBuilder Mapping
01I0B000000xR9C,pandadoc__Pricing_Item_Mapping__c,Pricing Item Map
01I0B000000xR9D,pandadoc__Recipient_Map__c,Recipient Map
01I0B000000xR9E,pandadoc__Settings__c,PandaDoc Settings
01I0B000000xR9F,pandadoc__TriggerSetting__c,Trigger Setting
01I5b0000021zxY,ChargentBase__Log__c,Chargent Log
01IRo000001l7qH,Vendor_Payment_Request__c,Vendor Payment Request
01IRo000001x2lB,Product_Test_Line_Item__c,Product Test Line Item
01IRo000002CkXV,FSL__Crew_Management_User_Settings_Territory__c,Crew Management User Settings Territory
01IRo000002CkXW,FSL__Crew_Management_User_Settings__c,Crew Management User Settings
01IRo000002CkXX,FSL__Criteria__c,Criteria
01IU0000000ofKa,ProductTestData__c,ProductTestData
01IU0000000ofKb,ProductTest__c,ProductTest
01IU0000000ofKc,RecordType__c,Record_Type
01I4O000001MAas,zkmulti__CommercialInvoice__c,Commercial Invoice
01I4O000001MAat,zkmulti__CustomSetting__c,Custom Setting
01IU0000000omZU,RMA__c,RMA
01IU0000000t8fJ,Review_Status__c,Review Status
01I0B000000tBNK,RingCentral__AdminSetting__c,AdminSetting
01I0B000000tBO3,pi__AsyncRequest_Settings__c,Public Setting for AsyncRequests
01I0B000000tBO4,pi__AsyncRequest__c,AsyncRequest
01I0B000000tBO5,pi__Category_Contact_Score__c,Pardot Category Score (Contact)
01I0B000000tBO6,pi__Category_Lead_Score__c,Pardot Category Score (Lead)
01I0B000000tBO8,pi__EngageCampaignRecipient__c,Engage Campaign Recipient
01I0B000000tBOA,pi__LDFilter__c,Lead Deck Filter
01I0B000000tBOB,pi__ObjectChangeLog__c,ObjectChangeLog
01I0B000000tBOC,pi__PardotTask__c,Pardot Task
01I0B000000tBOF,pi__Pardot_Scoring_Category__c,Pardot Scoring Category
01I0B000000tBOG,pi__Partner_Settings__c,Partner Settings
01I0B000000tBOI,pi__Trigger_Settings__c,Public Setting for LogObjectTrigger
01I4O000001MAau,zkmulti__DangerousGoodsDetails__c,Dangerous Goods Details (Deprecated)
01I4O000001MAav,zkmulti__Detail_Field__c,Detail Field
01I4O000001MAax,zkmulti__EEIForm__c,EEI Form
01I0B000000tC15,RepairEvalSetting__c,Repair Evaluation Setting
01I0B000001I0ef,pi__Demo_Settings__c,Demo Settings
01I5b0000021zxa,ChargentBase__Payment_Method__c,Chargent Payment Method
01I5b0000021zxd,ChargentBase__Token__c,Chargent Token
01I5b000002202a,DOZISF__Complete_Setting__c,Complete Setting
01I5b000002202c,DOZISF__ZoomInfo_Intent__c,ZoomInfo Intent
01I5b000002202d,DOZISF__ZoomInfo_Scoop__c,ZoomInfo Scoop
01I5b000002202e,DOZISF__ZoomInfo__c,ZoomInfo
01I5b000002205o,AVA_MAPPER__AvaTax_Log__c,AvaTax Log
01IRo000000jNdC,AVA_SFCLOUD__AvaTax_Mapping__c,AvaTax Mapping
01IRo00000101Er,Class_Attendee__c,Class Attendee
01IRo00000101Es,Training_Class__c,Training Class
01IRo000001WKO1,Customer_Equipment__c,Customer Equipment
01IRo000002CkXh,FSL__FSL_Operation__c,FSL Operation
01I0B000001I2SW,Calibration__c,Calibration
01I0B000001I2SX,Equipment__c,Equipment
01I0B000001I2SY,Preventive_Maintenance__c,Preventive Maintenance
01I0B000001I2UN,Document_Trained_Person__c,Document Trained Person
01I0B000001I2UO,Group_Trained_Person__c,Group Trained Person
01I0B000001I2UP,Hands_On_Trained_Person__c,Hands On Trained Person
01I0B000001I2UQ,Training_Item__c,Training Item
01I0B000001I2VB,CAPA_Action_Plan__c,CAPA Action Plan
01I0B000001I2VC,CAPA_Action__c,CAPA Action
01I0B000001I2VD,CAPA__c,CAPA
01I0B000001I2VE,Complaint__c,Complaint
01IRo000002CkXl,FSL__GanttPalette__c,Gantt Palette
01IRo000002CkXm,FSL__Gantt_Filter__c,Gantt Filter
01I0B000000xMlQ,Prototype__c,Prototype
01I0B000000xN30,Evaluation_Natalie__c,Evaluation
01I4O000001MAay,zkmulti__ExportDetails__c,Export Details
01I4O000001MAaz,zkmulti__FedExSmartPostDetails__c,SmartPost Details
01I4O000001MAb0,zkmulti__HazMatCommodity__c,HazMat Commodity (Deprecated)
01I4O000001MAb1,zkmulti__HazMatContainer__c,HazMat Container (Deprecated)
01I4O000001MAb2,zkmulti__HazMatDetails__c,Dangerous Goods
