"Dataset","Rows","File"
"apex_classes","3378","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\apex_classes.csv"
"apex_pages","570","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\apex_pages.csv"
"app_definitions","45","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\app_definitions.csv"
"connected_applications","36","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\connected_applications.csv"
"custom_permissions","83","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\custom_permissions.csv"
"field_permissions","447103","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\field_permissions.csv"
"object_permissions","11858","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\object_permissions.csv"
"organization","1","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\organization.csv"
"permission_set_assignments","12372","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\permission_set_assignments.csv"
"permission_set_group_components","47","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\permission_set_group_components.csv"
"permission_set_groups","15","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\permission_set_groups.csv"
"permission_sets","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\permission_sets.csv"
"profiles","97","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\profiles.csv"
"roles","48","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\roles.csv"
"setup_entity_access","81808","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\setup_entity_access.csv"
"system_permission_fields","623","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permission_fields.csv"
"system_permissions_01","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permissions_01.csv"
"system_permissions_02","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permissions_02.csv"
"system_permissions_03","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permissions_03.csv"
"system_permissions_04","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permissions_04.csv"
"system_permissions_05","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permissions_05.csv"
"system_permissions_06","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permissions_06.csv"
"system_permissions_07","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permissions_07.csv"
"system_permissions_08","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\system_permissions_08.csv"
"tab_settings","14367","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\tab_settings.csv"
"user_login","953","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\user_login.csv"
"users","983","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\security_access_export\users.csv"
