"ParentId","SobjectType","Total","Readable","Editable"
"0PS0B0000009LJ3WAM","Campaign","1","1","1"
"0PS0B0000009LJ3WAM","Contact","21","21","21"
"0PS0B0000009LJ3WAM","Lead","21","21","21"
"0PS0B0000009LJ3WAM","pi__Category_Contact_Score__c","2","2","0"
"0PS0B0000009LJ3WAM","pi__Category_Lead_Score__c","2","2","0"
"0PS0B0000009LJ3WAM","pi__Pardot_Scoring_Category__c","1","1","0"
"0PS0B0000009LJ4WAM","Campaign","2","2","2"
"0PS0B0000009LJ4WAM","Contact","23","23","23"
"0PS0B0000009LJ4WAM","Lead","23","23","23"
"0PS0B0000009LJ4WAM","pi__AsyncRequest__c","2","2","2"
"0PS0B0000009LJ4WAM","pi__Category_Contact_Score__c","2","2","2"
"0PS0B0000009LJ4WAM","pi__Category_Lead_Score__c","2","2","2"
"0PS0B0000009LJ4WAM","pi__LDFilter__c","7","7","7"
"0PS0B0000009LJ4WAM","pi__ObjectChangeLog__c","2","2","2"
"0PS0B0000009LJ4WAM","pi__Pardot_Scoring_Category__c","2","2","2"
"0PS0B0000009LJ4WAM","pi__PardotTask__c","3","3","3"
"0PS0B0000009LJ4WAM","User","5","5","5"
"0PS0B0000009LJ5WAM","Contact","1","1","1"
"0PS0B0000009LJ5WAM","Lead","1","1","1"
"0PS0B0000009LJ5WAM","pi__EngageCampaignRecipient__c","4","4","4"
"0PS0B0000009LJ5WAM","pi__LDFilter__c","9","9","9"
"0PS0B0000009LJ5WAM","User","3","3","3"
"0PS0B0000009LQnWAM","Account","27","27","27"
"0PS0B0000009LQnWAM","ApprovalSubmission","7","7","7"
"0PS0B0000009LQnWAM","ApprovalSubmissionDetail","8","8","8"
"0PS0B0000009LQnWAM","ApprovalWorkItem","10","10","10"
"0PS0B0000009LQnWAM","ApptBundleConfig","7","7","7"
"0PS0B0000009LQnWAM","ApptBundlePolicy","10","10","10"
"0PS0B0000009LQnWAM","Asset","13","13","13"
"0PS0B0000009LQnWAM","AssignedResource","3","3","3"
"0PS0B0000009LQnWAM","AttributeDefinition","2","2","2"
"0PS0B0000009LQnWAM","AuthorizationForm","5","5","5"
"0PS0B0000009LQnWAM","AuthorizationFormConsent","2","2","2"
"0PS0B0000009LQnWAM","AuthorizationFormText","4","4","4"
"0PS0B0000009LQnWAM","BusinessBrand","2","2","2"
"0PS0B0000009LQnWAM","Campaign","36","36","12"
"0PS0B0000009LQnWAM","Case","46","46","44"
"0PS0B0000009LQnWAM","Change_Request__c","4","4","4"
"0PS0B0000009LQnWAM","Contact","19","19","19"
"0PS0B0000009LQnWAM","ContactPointAddress","11","11","11"
"0PS0B0000009LQnWAM","ContactPointConsent","5","5","5"
"0PS0B0000009LQnWAM","ContactPointEmail","11","11","11"
"0PS0B0000009LQnWAM","ContactPointPhone","15","15","15"
"0PS0B0000009LQnWAM","ContactPointTypeConsent","4","4","4"
"0PS0B0000009LQnWAM","Contract","15","15","12"
"0PS0B0000009LQnWAM","ContractLineItem","13","13","13"
"0PS0B0000009LQnWAM","ContractLineOutcome","6","6","6"
"0PS0B0000009LQnWAM","ContractLineOutcomeData","2","2","2"
"0PS0B0000009LQnWAM","Customer","2","2","2"
"0PS0B0000009LQnWAM","DataUseLegalBasis","2","2","2"
"0PS0B0000009LQnWAM","DataUsePurpose","5","5","5"
"0PS0B0000009LQnWAM","Document_Review__c","1","1","1"
"0PS0B0000009LQnWAM","Entitlement","14","14","14"
"0PS0B0000009LQnWAM","Equipment__c","2","2","2"
"0PS0B0000009LQnWAM","Event","5","5","5"
"0PS0B0000009LQnWAM","Expense","7","7","5"
"0PS0B0000009LQnWAM","ExpenseReport","1","1","0"
"0PS0B0000009LQnWAM","Hands_On_Trained_Person__c","1","1","1"
"0PS0B0000009LQnWAM","Individual","21","21","20"
"0PS0B0000009LQnWAM","Intercompany_Transfer__c","1","1","1"
"0PS0B0000009LQnWAM","JobProfile","1","1","1"
"0PS0B0000009LQnWAM","Lead","11","11","11"
"0PS0B0000009LQnWAM","Location","1","1","1"
"0PS0B0000009LQnWAM","MaintenanceAsset","1","1","1"
"0PS0B0000009LQnWAM","MaintenancePlan","11","11","11"
"0PS0B0000009LQnWAM","MaintenanceWorkRule","6","6","6"
"0PS0B0000009LQnWAM","Opportunity","332","332","240"
"0PS0B0000009LQnWAM","OpportunityLineItem","6","6","3"
"0PS0B0000009LQnWAM","Order","9","9","6"
"0PS0B0000009LQnWAM","OrderItem","3","3","1"
"0PS0B0000009LQnWAM","pi__PardotTask__c","1","1","1"
"0PS0B0000009LQnWAM","Preventive_Maintenance__c","1","1","1"
"0PS0B0000009LQnWAM","Product_Repair__c","1","1","1"
"0PS0B0000009LQnWAM","Product2","18","18","18"
"0PS0B0000009LQnWAM","ProductConsumed","6","6","6"
"0PS0B0000009LQnWAM","ProductConsumedState","1","1","1"
"0PS0B0000009LQnWAM","ProductItem__c","91","91","56"
"0PS0B0000009LQnWAM","ProductRequest","3","3","3"
"0PS0B0000009LQnWAM","ProductRequestLineItem","10","10","10"
"0PS0B0000009LQnWAM","ProductServiceCampaign","6","6","6"
"0PS0B0000009LQnWAM","ProductServiceCampaignItem","4","4","4"
"0PS0B0000009LQnWAM","ProductTransfer","8","8","8"
"0PS0B0000009LQnWAM","ProductTransferState","2","2","2"
"0PS0B0000009LQnWAM","Quote","23","23","21"
"0PS0B0000009LQnWAM","QuoteLineItem","7","7","7"
"0PS0B0000009LQnWAM","Ratings__c","1","1","1"
"0PS0B0000009LQnWAM","RecordsetFilterCriteria","2","2","2"
"0PS0B0000009LQnWAM","ResourceAbsence","2","2","2"
"0PS0B0000009LQnWAM","ReturnOrder","14","14","14"
"0PS0B0000009LQnWAM","ReturnOrderLineItem","13","13","13"
"0PS0B0000009LQnWAM","RMA__c","12","12","0"
"0PS0B0000009LQnWAM","Seller","5","5","5"
"0PS0B0000009LQnWAM","ServiceAppointment","23","23","23"
"0PS0B0000009LQnWAM","ServiceContract","22","22","20"
"0PS0B0000009LQnWAM","ServiceCrewMember","2","2","2"
"0PS0B0000009LQnWAM","ServiceResource","9","9","9"
"0PS0B0000009LQnWAM","ServiceResourceCapacity","4","4","4"
"0PS0B0000009LQnWAM","ServiceResourceSkill","2","2","2"
"0PS0B0000009LQnWAM","ServiceTerritory","6","6","6"
"0PS0B0000009LQnWAM","ServiceTerritoryMember","4","4","4"
"0PS0B0000009LQnWAM","Shift","7","7","7"
"0PS0B0000009LQnWAM","ShiftPattern","2","2","2"
"0PS0B0000009LQnWAM","ShiftTemplate","3","3","3"
"0PS0B0000009LQnWAM","Shipment","11","11","11"
"0PS0B0000009LQnWAM","SkillRequirement","1","1","1"
"0PS0B0000009LQnWAM","SocialPersona","4","4","4"
"0PS0B0000009LQnWAM","SocialPost","16","16","16"
