"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32"
"0PS4O000000vMZBWA2","Super_User","""Super User""","Gives ""modify all data"" checkbox to users. Also specifically allows to change reserved and sold checkbox on asset page; as well as change picklist value sets.","false","","","true","Regular","","false","","","","","","36","Modify All Data; Modify Metadata; View All Data","Assign Topics; Connect Org To Environment Hub; Convert Leads; Create Customize Dashboards; Create Customize Filters; Create Customize Reports; Create Dashboard Folders; Create Report Folders; Create Topics; Delete Topics; Edit Event; Edit My Dashboards; Edit My Reports; Edit Public Documents; Edit Public Filters; Edit Public Templates; Edit Task; Edit Topics; Import Leads; Manage Categories; Manage Dashbds In Pub Folders; Manage Networks; Manage Reports In Pub Folders; Modify All Data; Modify Metadata; Run Reports; Solution Import; Transfer Any Entity; Transfer Any Lead; Use Team Reassign Wizards; View All Data; View Event Log Files; View Public Dashboards; View Public Reports; View Roles; View Setup","516","516","516","503","503","500","500","73","0","1","2021-04-12 16:00:37 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000vMZBWA2"
"0PS0B0000009LQnWAM","X00e0B000000FNbZQAW","00e0B000000FNbZQAW","","true","00e0B000000FNbZQAW","CustomerForm Profile","true","Profile","","false","","","","","","11","","Activities Access; Allow Universal Search; Apex Rest Services; Api Enabled; Email Administration; Email Template Management; Enable Notifications; Password Never Expires; Select Files From Salesforce; Show Company Name As User Badge; Use Web Link","24","24","12","0","0","0","0","1953","94","63","2016-10-21 11:25:30 UTC","2026-06-30 03:31:13 UTC","https://probomedical.my.salesforce.com/0PS0B0000009LQnWAM"
"0PS0B000000b4UMWAY","X00e0B000000ZybXQAS","00e0B000000ZybXQAS","","true","00e0B000000ZybXQAS","Purchasing Manager","true","Profile","","false","","","","","","70","Manage Internal Users; Manage Sharing","Activities Access; Allow Universal Search; Allow View Edit Converted Leads; Allow View Knowledge; Apex Rest Services; Api Enabled; Assign Topics; Can Use New Dashboard Builder; Chatter File Link; Chatter Internal User; Chatter Invite External Users; Chatter Own Groups; Connect Org To Environment Hub; Convert Leads; Create Customize Dashboards; Create Customize Filters; Create Customize Reports; Create Dashboard Folders; Create Report Folders; Create Topics; Delete Topics; Distribute From Pers Wksp; Edit Event; Edit Html Templates; Edit My Dashboards; Edit My Reports; Edit Opp Line Item Unit Price; Edit Task; Edit Topics; Email Administration; Email Mass; Email Single; Email Template Management; Enable Notifications; Export Report; Flow UFL Required; Import Custom Objects; Import Leads; Lightning Console Allowed For User; List Email Send; Manage Css Users; Manage Dashbds In Pub Folders; Manage Internal Users; Manage Leads; Manage Pvt Rpts And Dashbds; Manage Reports In Pub Folders; Manage Sharing; Merge Topics; New Report Builder; Run Flow; Run Reports; Schedule Job; Schedule Reports; Select Files From Salesforce; Send Sit Requests; Share Files With Networks; Show Company Name As User Badge; Subscribe To Lightning Reports; Transactional Email Send; Transfer Any Entity; Transfer Any Lead; Use Team Reassign Wizards; Use Web Link; View All Users; View Event Log Files; View Help Link; View My Teams Dashboards; View Public Dashboards; View Public Reports; View Roles","100","100","60","60","47","54","11","6462","1207","206","2017-06-09 15:15:27 UTC","2026-08-12 10:06:52 UTC","https://probomedical.my.salesforce.com/0PS0B000000b4UMWAY"
"0PS0B000000b4c1WAA","X00e0B000000ZygIQAS","00e0B000000ZygIQAS","","true","00e0B000000ZygIQAS","Approval Form Profile","true","Profile","","false","","","","","","11","","Activities Access; Allow Universal Search; Content Workspaces; Email Administration; Email Template Management; Enable Community App Launcher; Enable Notifications; Password Never Expires; Select Files From Salesforce; Show Company Name As User Badge; Use Web Link","7","7","4","0","0","0","0","2382","17","63","2017-06-27 17:18:22 UTC","2026-06-30 03:31:13 UTC","https://probomedical.my.salesforce.com/0PS0B000000b4c1WAA"
"0PS0B000000b4c6WAA","X00e0B000000ZygNQAS","00e0B000000ZygNQAS","","true","00e0B000000ZygNQAS","Approval Attachment Profile","true","Profile","","false","","","","","","11","","Activities Access; Allow Universal Search; Content Workspaces; Email Administration; Email Template Management; Enable Community App Launcher; Enable Notifications; Password Never Expires; Select Files From Salesforce; Show Company Name As User Badge; Use Web Link","4","4","0","0","0","0","0","1404","16","63","2017-06-27 17:19:07 UTC","2026-06-30 03:31:13 UTC","https://probomedical.my.salesforce.com/0PS0B000000b4c6WAA"
"0PS0B000000b4dTWAQ","X00e0B000000ZyhBQAS","00e0B000000ZyhBQAS","","true","00e0B000000ZyhBQAS","Customer Community Plus User","false","Profile","","false","","","","","","26","","Access Orchestration Objects; Activities Access; Add Direct Message Members; Allow Universal Search; Apex Rest Services; Api Enabled; Assign Topics; Chatter Own Groups; Content Workspaces; Create Topics; Edit Task; Edit Topics; Email Administration; Email Template Management; Enable Community App Launcher; Enable Notifications; Field Service Access; Remove Direct Message Members; Run Flow; Run Global Optimization; Run In Day Optimization; Select Files From Salesforce; Set Advanced Optimization Filters; Share Files With Networks; Show Company Name As User Badge; Use Web Link","38","38","30","30","5","0","0","3421","870","145","2017-07-03 04:01:18 UTC","2026-08-12 10:06:52 UTC","https://probomedical.my.salesforce.com/0PS0B000000b4dTWAQ"
"0PS0B000000b4dnWAA","X00e0B000000ZyhQQAS","00e0B000000ZyhQQAS","","true","00e0B000000ZyhQQAS","QC Manager","true","Profile","","false","","","","","","53","","Activities Access; Allow Universal Search; Allow View Knowledge; Apex Rest Services; Api Enabled; Can Insert Feed System Fields; Can Use New Dashboard Builder; Chatter Edit Own Post; Chatter Edit Own Record Post; Chatter File Link; Chatter Internal User; Chatter Invite External Users; Chatter Own Groups; Create Customize Dashboards; Create Customize Filters; Create Customize Reports; Create Dashboard Folders; Create Report Folders; Edit Knowledge; Edit My Dashboards; Edit My Reports; Email Administration; Email Template Management; Export Report; Flow UFL Required; Lightning Console Allowed For User; Lightning Experience User; Manage Css Users; Manage Knowledge; Manage Knowledge Import Export; Manage Networks; Manage Partners; Manage Search Promotion Rules; Manage Unlisted Groups; Moderate Chatter; New Report Builder; Run Flow; Run Reports; Schedule Job; Send External Email Available; Share Files With Networks; Share Internal Articles; Show Company Name As User Badge; Subscribe Dashboard Roles Grps; Subscribe Dashboard To Other Users; Subscribe To Lightning Dashboards; Use Web Link; View Event Log Files; View Help Link; View My Teams Dashboards; View Public Dashboards; View Public Reports; View Roles","108","108","79","80","47","65","10","6778","1316","207","2017-07-05 18:38:57 UTC","2026-08-12 10:06:52 UTC","https://probomedical.my.salesforce.com/0PS0B000000b4dnWAA"
"0PS0B000000b4fFWAQ","X00e0B000000ZyiTQAS","00e0B000000ZyiTQAS","","true","00e0B000000ZyiTQAS","Conquest Profile","true","Profile","","false","","","","","","6","","Activities Access; Allow Universal Search; Email Administration; Email Template Management; Enable Notifications; Use Web Link","0","0","0","0","0","0","0","758","23","63","2017-07-11 16:38:50 UTC","2026-06-30 03:31:13 UTC","https://probomedical.my.salesforce.com/0PS0B000000b4fFWAQ"
"0PS0B000000b4wuWAA","X00e0B000000ZyrfQAC","00e0B000000ZyrfQAC","","true","00e0B000000ZyrfQAC","Conquest Portal","true","Profile","","false","","","","","","21","","Activities Access; Allow Universal Search; Apex Rest Services; Chatter Edit Own Post; Chatter Edit Own Record Post; Content Workspaces; Create Customize Reports; Create Topics; Edit My Reports; Edit Task; Email Administration; Email Template Management; Enable Community App Launcher; Enable Notifications; Field Service Access; Run Flow; Run Reports; Share Files With Networks; Show Company Name As User Badge; Use Web Link; View Content","23","23","19","18","1","0","0","3343","873","139","2017-08-23 22:30:04 UTC","2026-08-12 10:06:52 UTC","https://probomedical.my.salesforce.com/0PS0B000000b4wuWAA"
"0PS0B000000b52dWAA","X00e0B000000ZyuZQAS","00e0B000000ZyuZQAS","","true","00e0B000000ZyuZQAS","Inventory Profile","true","Profile","","false","","","","","","12","","Activities Access; Add Direct Message Members; Allow Universal Search; Content Workspaces; Email Administration; Email Template Management; Enable Community App Launcher; Enable Notifications; Password Never Expires; Select Files From Salesforce; Show Company Name As User Badge; Use Web Link","0","0","0","0","0","0","0","771","13","63","2017-09-01 20:44:33 UTC","2026-06-30 03:31:13 UTC","https://probomedical.my.salesforce.com/0PS0B000000b52dWAA"
