Id,Name,UserLicenseId,UserLicense.Name,UserType,Description,CreatedDate,LastModifiedDate
00e0B000000xXjJQAU,Accounting,100U0000000Hb0mIAC,Salesforce,Standard,,2017-02-01T13:33:54.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000a03XQAQ,Accounting + Sales,100U0000000Hb0mIAC,Salesforce,Standard,,2018-09-10T18:53:51.000+0000,2026-08-19T07:34:54.000+0000
00e0B000000ZzviQAC,Alpha Source Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2018-07-20T17:35:04.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZzvdQAC,Alpha Source Profile,100U00000000paUIAQ,Guest User License,Guest,,2018-07-20T17:04:11.000+0000,2026-06-30T03:31:13.000+0000
00e5b000001ls0JAAQ,Analytics Cloud Integration User,1005b000001Q8ctAAC,Analytics Cloud Integration User,Standard,,2023-10-14T05:05:44.000+0000,2026-08-12T10:06:52.000+0000
00e5b000001ls0KAAQ,Analytics Cloud Security User,1005b000001Q8ctAAC,Analytics Cloud Integration User,Standard,,2023-10-14T05:05:46.000+0000,2026-08-12T10:06:52.000+0000
00eRo00000CPZenIAH,Anypoint Integration,1004O000000JFthQAG,Identity,Standard,,2025-02-15T05:38:37.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZygNQAS,Approval Attachment Profile,100U00000000paUIAQ,Guest User License,Guest,,2017-06-27T17:19:07.000+0000,2026-06-30T03:31:13.000+0000
00e0B000000ZygIQAS,Approval Form Profile,100U00000000paUIAQ,Guest User License,Guest,,2017-06-27T17:18:22.000+0000,2026-06-30T03:31:13.000+0000
00e0B000000ZzPhQAK,B2BMA Integration User,1000B0000009MgqQAE,B2BMA Integration User,Standard,,2018-04-01T04:16:45.000+0000,2026-08-12T10:06:52.000+0000
00e5b000001lrzLAAQ,Block Imaging Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2023-10-11T18:15:36.000+0000,2026-08-12T10:06:52.000+0000
00e5b000001lrzGAAQ,Block Imaging Portal Profile,100U00000000paUIAQ,Guest User License,Guest,,2023-10-11T17:26:57.000+0000,2026-06-30T03:31:13.000+0000
00e0B000000a0CPQAY,Catholic Health Initiatives Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2018-11-26T16:33:37.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000a0CKQAY,Catholic Health Initiatives Profile,100U00000000paUIAQ,Guest User License,Guest,,2018-11-26T16:08:07.000+0000,2026-06-30T03:31:13.000+0000
00eU0000000NHNyIAO,Chatter External User,100U00000000nGdIAI,Chatter External,CsnOnly,,2014-05-16T18:55:50.000+0000,2026-07-31T08:23:46.000+0000
00eU0000000NHNxIAO,Chatter Free User,100U00000000nGcIAI,Chatter Free,CsnOnly,,2014-05-16T18:55:50.000+0000,2026-07-31T08:23:46.000+0000
00eU0000000NHNwIAO,Chatter Moderator User,100U00000000nGcIAI,Chatter Free,CsnOnly,,2014-05-16T18:55:49.000+0000,2026-07-31T08:23:46.000+0000
00e5b000000Yas3AAC,Commercial Finance - UK,100U0000000Hb0mIAC,Salesforce,Standard,,2022-02-14T10:13:58.000+0000,2026-08-12T10:06:52.000+0000
00e5b000000YartAAC,Commercial Manager - UK,100U0000000Hb0mIAC,Salesforce,Standard,,2022-02-14T10:00:35.000+0000,2026-08-13T08:17:26.000+0000
00e5b000000YaryAAC,Commercial Sales - UK,100U0000000Hb0mIAC,Salesforce,Standard,,2022-02-14T10:09:04.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZyrfQAC,Conquest Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2017-08-23T22:30:04.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZyiTQAS,Conquest Profile,100U00000000paUIAQ,Guest User License,Guest,,2017-07-11T16:38:50.000+0000,2026-06-30T03:31:13.000+0000
00e0B000000ZzK3QAK,Consensys Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2018-02-13T18:03:49.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZzJtQAK,Consensys Profile,100U00000000paUIAQ,Guest User License,Guest,,2018-02-13T15:59:46.000+0000,2026-06-30T03:31:13.000+0000
00eU0000000iBdyIAE,Contract Manager,100U0000000Hb0mIAC,Salesforce,Standard,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
00eRo000006FoHDIA0,Coordination - UK,100U0000000Hb0mIAC,Salesforce,Standard,,2024-07-16T15:12:20.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZyhBQAS,Customer Community Plus User,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2017-07-03T04:01:18.000+0000,2026-08-12T10:06:52.000+0000
