"Id","ParentId","Name","Visibility"
"01P0B00001098XaUAI","0PS0B0000009LJ5WAM","pi__EngageSalesTools","DefaultOn"
"01P0B00001098XbUAI","0PS0B0000009LJ5WAM","pi__Lead_Deck","DefaultOn"
"01P0B00001098XcUAI","0PS0B0000009LJ5WAM","pi__Sales_Edge","DefaultOn"
"01P0B00001098XdUAI","0PS0B0000009LJ5WAM","pi__Sales_Edge_Reports","DefaultOn"
"01P0B000018hyhlUAA","0PS0B000000b5CxWAI","standard-Account","DefaultOn"
"01P0B000018hyhmUAA","0PS0B000000b5CxWAI","standard-Case","DefaultOn"
"01P0B000018hyhnUAA","0PS0B000000b5CxWAI","standard-Contact","DefaultOn"
"01P0B000018hyhoUAA","0PS0B000000b5CxWAI","standard-Lead","DefaultOn"
"01P0B00001A0G7NUAV","0PS0B000000b5KSWAY","ProductTest__c","DefaultOn"
"01P0B00001A1eTHUAZ","0PS0B000000b5NMWAY","ProductItem__c","DefaultOn"
"01P0B00001A1zgtUAB","0PS0B000000b5PDWAY","ProductItem__c","DefaultOn"
"01P0B00001EMfZlUAL","0PS0B000000b6UdWAI","ProductItem__c","DefaultOn"
"01P0B00001EMfZqUAL","0PS0B000000b6UiWAI","Product_Repair__c","DefaultOn"
"01P0B00001EMfZvUAL","0PS0B000000b6UnWAI","Product_Repair__c","DefaultOn"
"01P0B00001EvQvZUAV","0PS0B000000b6WPWAY","Product_Repair__c","DefaultOn"
"01P0B00001H5C44UAF","0PS0B000000b7c6WAA","Equipment__c","DefaultOn"
"01P0B00001H8GnvUAF","0PSU0000000WbfZOAS","standard-ProfilePlatformOverview","DefaultOn"
"01P0B00001H8GnwUAF","0PSU0000000WbfZOAS","standard-CollaborationGroup","DefaultOn"
"01P0B00001H8GnxUAF","0PSU0000000WbfZOAS","standard-UserProfile","DefaultOn"
"01P0B00001H8GnyUAF","0PSU0000000WbfZOAS","standard-DuplicateRecordSet","DefaultOn"
"01P0B00001H8GnzUAF","0PSU0000000WbfZOAS","standard-ProfilePlatformFeed","DefaultOn"
"01P0B00001H8Go0UAF","0PSU0000000WbfZOAS","standard-File","DefaultOn"
"01P0B00001H8Go2UAF","0PSU0000000WbfZOAS","standard-OtherUserProfile","DefaultOn"
"01P0B00001H8Go3UAF","0PSU0000000WbfZOAS","standard-home","DefaultOn"
"01P0B00001H8Go4UAF","0PSU0000000WbfYOAS","standard-CollaborationGroup","DefaultOn"
"01P0B00001H8Go5UAF","0PSU0000000WbfYOAS","standard-ProfilePlatformOverview","DefaultOn"
"01P0B00001H8Go6UAF","0PSU0000000WbfYOAS","standard-UserProfile","DefaultOn"
"01P0B00001H8Go7UAF","0PSU0000000WbfYOAS","standard-DuplicateRecordSet","DefaultOn"
"01P0B00001H8Go8UAF","0PSU0000000WbfYOAS","standard-ProfilePlatformFeed","DefaultOn"
"01P0B00001H8Go9UAF","0PSU0000000WbfYOAS","standard-File","DefaultOn"
"01P0B00001H8GoBUAV","0PSU0000000WbfYOAS","standard-OtherUserProfile","DefaultOn"
"01P0B00001H8GoCUAV","0PSU0000000WbfYOAS","standard-home","DefaultOn"
"01P0B00001H8GpKUAV","0PSU0000000WbfaOAC","standard-CollaborationGroup","DefaultOn"
"01P0B00001H8GpLUAV","0PSU0000000WbfaOAC","standard-ProfilePlatformOverview","DefaultOn"
"01P0B00001H8GpMUAV","0PSU0000000WbfaOAC","standard-UserProfile","DefaultOn"
"01P0B00001H8GpNUAV","0PSU0000000WbfaOAC","standard-DuplicateRecordSet","DefaultOn"
"01P0B00001H8GpOUAV","0PSU0000000WbfaOAC","standard-ProfilePlatformFeed","DefaultOn"
"01P0B00001H8GpPUAV","0PSU0000000WbfaOAC","standard-File","DefaultOn"
"01P0B00001H8GpQUAV","0PSU0000000WbfaOAC","standard-OtherUserProfile","DefaultOn"
"01P0B00001H8GpSUAV","0PSU0000000WbfaOAC","standard-home","DefaultOn"
"01P0B00001H8GrsUAF","0PSU0000000OFj0OAG","standard-CollaborationGroup","DefaultOn"
"01P0B00001H8GrtUAF","0PSU0000000OFj0OAG","standard-ProfilePlatformOverview","DefaultOn"
"01P0B00001H8GruUAF","0PSU0000000OFj0OAG","standard-UserProfile","DefaultOn"
"01P0B00001H8GrvUAF","0PSU0000000OFj0OAG","standard-Idea","DefaultOn"
