Id,ParentId,Name,Visibility
01P4O00001HsOgaUAF,0PS4O0000009SkvWAE,standard-Opportunity,DefaultOff
01P4O00001JckPnUAJ,0PS4O000000zq0oWAA,dlrs__LookupRollupCalculateJob__c,DefaultOff
01P4O00001JckPoUAJ,0PS4O000000zq0oWAA,dlrs__LookupRollupSummaryLog__c,DefaultOff
01P4O00001JckPpUAJ,0PS4O000000zq0oWAA,dlrs__LookupRollupSummaryScheduleItems__c,DefaultOff
01P4O00001JckPqUAJ,0PS4O000000zq0oWAA,dlrs__LookupRollupSummary__c,DefaultOff
01P4O00001JckPrUAJ,0PS4O000000zq0oWAA,dlrs__ManageLookupRollupSummaries,DefaultOff
01P4O00001JckPsUAJ,0PS4O000000zq0oWAA,dlrs__Welcome,DefaultOff
01P5b00003JPupOEAT,0PS5b000000HhorGAC,Product_Repair__c,DefaultOff
01P5b00003MmpMMEAZ,0PS5b000001QE8GGAW,DOZISF__ZoomInfo_Intent__c,DefaultOff
01P5b00003MmpMOEAZ,0PS5b000001QE8GGAW,DOZISF__ZoomInfo_Scoop__c,DefaultOff
01P5b00003MmpMQEAZ,0PS5b000001QE8HGAW,DOZISF__ZoomInfo_Intent__c,DefaultOff
01P5b00003MmpMSEAZ,0PS5b000001QE8HGAW,DOZISF__ZoomInfo_Scoop__c,DefaultOff
01PRo000004JHqsMAG,0PS4O0000009WmcWAE,Credit_Memo_Line_Item__c,DefaultOff
01PRo000004NtRvMAK,0PS0B0000009LQnWAM,standard-EngagementAttendee,DefaultOff
01PRo000004NtRxMAK,0PS0B000000b4c1WAA,standard-EngagementAttendee,DefaultOff
01PRo000004NtRyMAK,0PS0B000000b4c6WAA,standard-EngagementAttendee,DefaultOff
01PRo000004NtS1MAK,0PS0B000000b4fFWAQ,standard-EngagementAttendee,DefaultOff
01PRo000004NtS3MAK,0PS0B000000b52dWAA,standard-EngagementAttendee,DefaultOff
01PRo000004NtS4MAK,0PS0B000000b5LQWAY,standard-EngagementAttendee,DefaultOff
01PRo000004NtS6MAK,0PS0B000000b5ycWAA,standard-EngagementAttendee,DefaultOff
01PRo000004NtS9MAK,0PS0B000000b6MAWAY,standard-EngagementAttendee,DefaultOff
01PRo000004NtSDMA0,0PS0B000000b7CVWAY,standard-EngagementAttendee,DefaultOff
01PRo000004NtSGMA0,0PS0B000000b7EHWAY,standard-EngagementAttendee,DefaultOff
01PRo000004NtSIMA0,0PS0B000000b7tgWAA,standard-EngagementAttendee,DefaultOff
01PRo000004NtSUMA0,0PS4O000000zpNwWAI,standard-EngagementAttendee,DefaultOff
01PRo000004NtSZMA0,0PS4O000000vMbWWAU,standard-EngagementAttendee,DefaultOff
01PRo000004NtSbMAK,0PS5b000000HhLQGA0,standard-EngagementAttendee,DefaultOff
01PRo000004NtScMAK,0PS5b000000HhLVGA0,standard-EngagementAttendee,DefaultOff
01PRo000004NtSeMAK,0PS5b000000HhtwGAC,standard-EngagementAttendee,DefaultOff
01PRo000004NtSfMAK,0PS5b000000HiifGAC,standard-EngagementAttendee,DefaultOff
01PRo000004NtSgMAK,0PS5b000000HitsGAC,standard-EngagementAttendee,DefaultOff
01PRo000004NtSqMAK,0PS5b000000HjYMGA0,standard-EngagementAttendee,DefaultOff
01PRo000004NtSuMAK,0PS5b000000Hk7RGAS,standard-EngagementAttendee,DefaultOff
01PRo000004NtSyMAK,0PS5b000001QDXjGAO,standard-EngagementAttendee,DefaultOff
01PRo000004NtT3MAK,0PSRo0000003QXROA2,standard-EngagementAttendee,DefaultOff
01PRo000004NtT4MAK,0PSRo0000003QijOAE,standard-EngagementAttendee,DefaultOff
01PRo000004NtT7MAK,0PSU00000009L7gOAE,standard-EngagementAttendee,DefaultOff
01PRo000004NtT8MAK,0PSU0000000OFj0OAG,standard-EngagementAttendee,DefaultOff
01PRo000004NtTDMA0,0PSU0000000WbfXOAS,standard-EngagementAttendee,DefaultOff
01PRo000004NtTEMA0,0PSU0000000WbfYOAS,standard-EngagementAttendee,DefaultOff
01PRo000004NtTFMA0,0PSU0000000WbfZOAS,standard-EngagementAttendee,DefaultOff
01PRo000004NtTGMA0,0PSU0000000WbfaOAC,standard-EngagementAttendee,DefaultOff
01PRo000004NtTHMA0,0PSU0000000WcpEOAS,standard-EngagementAttendee,DefaultOff
01PRo000004NtTJMA0,0PSU0000000SUL1OAO,standard-EngagementAttendee,DefaultOff
01PRo000004NtTPMA0,0PS0B0000009LQnWAM,standard-EngagementInteraction,DefaultOff
01PRo000004NtTRMA0,0PS0B000000b4c1WAA,standard-EngagementInteraction,DefaultOff
01PRo000004NtTSMA0,0PS0B000000b4c6WAA,standard-EngagementInteraction,DefaultOff
01PRo000004NtTVMA0,0PS0B000000b4fFWAQ,standard-EngagementInteraction,DefaultOff
01PRo000004NtTXMA0,0PS0B000000b52dWAA,standard-EngagementInteraction,DefaultOff
01PRo000004NtTYMA0,0PS0B000000b5LQWAY,standard-EngagementInteraction,DefaultOff
01PRo000004NtTaMAK,0PS0B000000b5ycWAA,standard-EngagementInteraction,DefaultOff
01PRo000004NtTdMAK,0PS0B000000b6MAWAY,standard-EngagementInteraction,DefaultOff
01PRo000004NtThMAK,0PS0B000000b7CVWAY,standard-EngagementInteraction,DefaultOff
01PRo000004NtTkMAK,0PS0B000000b7EHWAY,standard-EngagementInteraction,DefaultOff
01PRo000004NtTmMAK,0PS0B000000b7tgWAA,standard-EngagementInteraction,DefaultOff
01PRo000004NtTyMAK,0PS4O000000zpNwWAI,standard-EngagementInteraction,DefaultOff
