Id,Name,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c,LastModifiedDate
a064O00001UU4eNQAT,111912,"Tampa, FL","Tampa, FL",TPA | FG | 115 | A2,2026-04-10,,2026-06-19T15:04:26.000+0000
a064O00001UU7pnQAD,112550,"Tampa, FL","Tampa, FL",TPA | FG | 110 | C5,2026-04-10,,2026-06-19T15:04:42.000+0000
a064O00001UU82nQAD,112683,"Tampa, FL","Tampa, FL",TPA | FG | 115 | A2,2026-04-10,,2026-06-19T15:04:45.000+0000
a064O00001UUG4nQAH,113770,"Tampa, FL","Tampa, FL",TPA | FG | 110 | B4,2026-04-10,,2026-06-19T15:05:11.000+0000
a064O00001UUIniQAH,114160,"Tampa, FL","Tampa, FL",TPA | FG | 115 | B1,2026-04-10,,2026-06-19T15:05:20.000+0000
a064O00001UUMNiQAP,114904,"Tampa, FL","Tampa, FL",TPA | FG | 125 | G1,2026-04-10,,2026-06-19T15:05:38.000+0000
a064O00001UUNJEQA5,114958,"Tampa, FL","Tampa, FL",TPA | FG | 110 | G5,2026-04-10,,2026-06-19T15:05:39.000+0000
a064O00001UUNRDQA5,115043,"Tampa, FL","Tampa, FL",TPA | FG | 105 | E2,2026-04-10,,2026-07-08T14:23:58.000+0000
a064O00001UURnQQAX,115581,"Tampa, FL","Tampa, FL",TPA | FG | 105 | G1,2026-04-10,,2026-06-19T15:05:54.000+0000
a064O00001UUSnDQAX,115888,"Tampa, FL","Tampa, FL",TPA | FG | 110 | J2,2026-04-10,,2026-06-19T15:06:01.000+0000
a064O00001UUTOnQAP,115931,"Tampa, FL",WIP/EBALLARD,TPA | NC | 225 | B5,2026-08-05,,2026-08-07T14:05:21.000+0000
a064O00001UUfn1QAD,118069,"Tampa, FL","Tampa, FL",TPA | FG | 105 | G1,2026-04-10,,2026-06-19T15:06:52.000+0000
a064O00001UUgnBQAT,118242,"Tampa, FL","Tampa, FL",TPA | FG | 130 | E1,2026-04-10,,2026-06-19T15:06:56.000+0000
a064O00001UbIpnQAF,107601,Tampa,RENTAL,,2025-12-11,,2026-06-19T15:13:56.000+0000
a064O00001UbKNkQAN,107798,"Tampa, FL","Tampa, FL",TPA | FG | 105 | G1,2026-04-10,,2026-06-19T15:14:01.000+0000
a064O00001UbNO2QAN,108303,"Tampa, FL","Tampa, FL",TPA | FG | 100 | F3,2026-04-10,,2026-06-19T15:14:12.000+0000
a064O00001UbNO4QAN,108308,"Tampa, FL","Tampa, FL",TPA | FG | 110 | C2,2026-04-10,,2026-06-19T15:14:13.000+0000
a064O00001UbNOCQA3,108305,"Tampa, FL","Tampa, FL",TPA | FG | 130 | C1,2026-04-10,,2026-06-19T15:14:13.000+0000
a064O00001UbNQNQA3,108326,"Tampa, FL","Tampa, FL",TPA | FG | 120 | B2,2026-04-10,,2026-06-19T15:14:13.000+0000
a064O00001UbRVNQA3,108771,"Tampa, FL","Tampa, FL",TPA | FG | 125 | A4,2026-04-10,,2026-06-19T15:14:24.000+0000
a064O00001Ul66nQAB,120308,"Tampa, FL","Tampa, FL",TPA | FG | 120 | A4,2026-04-10,,2026-06-19T15:16:30.000+0000
a064O00001UlCHNQA3,121280,"Tampa, FL","Tampa, FL",TPA | FG | 125 | K4,2026-04-10,,2026-06-19T15:16:53.000+0000
a064O00001UlKnpQAF,122255,Tampa,WIP/JRODRIGUEZ,,2025-12-12,,2026-06-19T15:17:16.000+0000
a064O00001UlN4TQAV,122754,"Tampa, FL","Tampa, FL",TPA | FG | 135 | K2,2026-04-10,,2026-06-19T15:17:29.000+0000
a064O00001UlhnpQAB,125946,"Tampa, FL","Tampa, FL",TPA | FG | 110 | H3,2026-04-10,,2026-06-19T15:18:44.000+0000
