Id,Name,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c,LastModifiedDate
a064O00001UTy4nQAD,110931,"Tampa, FL",,TPA | FG | 110 | E2,2026-08-17,2026-08-17,2026-08-19T19:04:39.000+0000
a064O00001UU9NbQAL,112930,"Tampa, FL",,TPA | FG | 135 | B3,2026-08-17,2026-08-17,2026-08-19T19:04:39.000+0000
a064O00001UUBDnQAP,113174,"Tampa, FL",,TPA | FG | 115 | G4,2026-08-17,2026-08-17,2026-08-19T19:04:39.000+0000
a064O00001UUInhQAH,114159,"Tampa, FL",,TPA | FG | 120 | A5,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
a064O00001UUM8nQAH,114741,"Tampa, FL",,TPA | FG | 115 | H2,2026-08-17,2026-08-17,2026-08-19T19:04:39.000+0000
a064O00001UUNHMQA5,114941,"Tampa, FL",,TPA | FG | 125 | C2,2026-08-17,2026-08-17,2026-08-19T19:04:39.000+0000
a064O00001UUSYnQAP,115760,"Tampa, FL",,TPA | FG | 100 | F3,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
a064O00001UUXNyQAP,116816,"Tampa, FL",,TPA | FG | 125 | C4,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
a064O00001UUZ2nQAH,117087,"Tampa, FL",,TPA | FG | 110 | H4,2026-08-17,2026-08-17,2026-08-19T19:04:39.000+0000
a064O00001UUkn5QAD,119064,"Tampa, FL",,TPA | FG | 105 | J2,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
a064O00001UbNHLQA3,108230,"Tampa, FL",,TPA | FG | 135 | B2,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
a064O00001UbNNsQAN,108301,"Tampa, FL",,TPA | FG | 100 | H1,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
a064O00001UbNRpQAN,108338,"Tampa, FL",,TPA | FG | 100 | F4,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
a064O00001UbNRuQAN,108339,"Tampa, FL",,TPA | FG | 135 | G2,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
a064O00001UbTGnQAN,108899,"Tampa, FL",,TPA | FG | 125 | B1,2026-08-17,2026-08-17,2026-08-19T19:04:37.000+0000
