"Dataset","Rows","File","Query"
"organization","1","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\organization.csv","SELECT Id, Name, IsSandbox, OrganizationType, InstanceName, DefaultLocaleSidKey, LanguageLocaleKey, TimeZoneSidKey, FiscalYearStartMonth, CreatedDate FROM Organization"
"users","983","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\users.csv","SELECT Id, Username, Name, FirstName, LastName, Email, Alias, IsActive, UserType, ProfileId, Profile.Name, Profile.UserLicenseId, Profile.UserLicense.Name, UserRoleId, UserRole.Name, ManagerId, Manager.Name, Department, Division, Title, CompanyName, Phone, MobilePhone, TimeZoneSidKey, LocaleSidKey, LanguageLocaleKey, EmailEncodingKey, FederationIdentifier, CreatedDate, LastLoginDate, LastModifiedDate FROM User ORDER BY IsActive DESC, Name"
"user_login","953","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\user_login.csv","SELECT Id, UserId, IsFrozen, IsPasswordLocked, LastModifiedDate FROM UserLogin"
"profiles","97","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\profiles.csv","SELECT Id, Name, UserLicenseId, UserLicense.Name, UserType, Description, CreatedDate, LastModifiedDate FROM Profile ORDER BY Name"
"roles","48","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\roles.csv","SELECT Id, Name, DeveloperName, ParentRoleId, ParentRole.Name, RollupDescription, OpportunityAccessForAccountOwner, CaseAccessForAccountOwner, ContactAccessForAccountOwner, PortalType, ForecastUserId, MayForecastManagerShare, LastModifiedDate FROM UserRole ORDER BY Name"
"permission_sets","574","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\permission_sets.csv","SELECT Id, Name, Label, Description, LicenseId, IsCustom, IsOwnedByProfile, ProfileId, Profile.Name, NamespacePrefix, Type, HasActivationRequired, PermissionSetGroupId, CreatedDate, LastModifiedDate FROM PermissionSet ORDER BY Label"
"permission_set_assignments","12372","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\permission_set_assignments.csv","SELECT Id, AssigneeId, Assignee.Username, Assignee.Name, Assignee.IsActive, PermissionSetId, PermissionSet.Name, PermissionSet.Label, PermissionSet.IsOwnedByProfile, PermissionSetGroupId, PermissionSetGroup.DeveloperName, PermissionSetGroup.MasterLabel, IsActive, ExpirationDate FROM PermissionSetAssignment"
"permission_set_groups","15","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\permission_set_groups.csv","SELECT Id, DeveloperName, MasterLabel, Description, Status, HasActivationRequired, NamespacePrefix, CreatedDate, LastModifiedDate FROM PermissionSetGroup ORDER BY MasterLabel"
"permission_set_group_components","47","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\permission_set_group_components.csv","SELECT Id, PermissionSetGroupId, PermissionSetGroup.DeveloperName, PermissionSetGroup.MasterLabel, PermissionSetId, PermissionSet.Name, PermissionSet.Label, PermissionSet.Type, CreatedDate, LastModifiedDate FROM PermissionSetGroupComponent"
"permission_set_licenses","82","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\permission_set_licenses.csv","SELECT Id, DeveloperName, MasterLabel, Status, TotalLicenses, UsedLicenses, PermissionSetLicenseKey, ExpirationDate, LicenseExpirationPolicy, IsSupplementLicense, IsAvailableForIntegrations, CreatedDate, LastModifiedDate FROM PermissionSetLicense ORDER BY MasterLabel"
"permission_set_license_assignments","462","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\permission_set_license_assignments.csv","SELECT Id, AssigneeId, Assignee.Username, Assignee.Name, Assignee.IsActive, PermissionSetLicenseId, PermissionSetLicense.DeveloperName, PermissionSetLicense.MasterLabel, CreatedDate, LastModifiedDate FROM PermissionSetLicenseAssign"
"user_licenses","13","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\user_licenses.csv","SELECT Id, Name, MasterLabel, LicenseDefinitionKey, Status, TotalLicenses, UsedLicenses, UsedLicensesLastUpdated, CreatedDate, LastModifiedDate FROM UserLicense ORDER BY Name"
"groups","341","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\groups.csv","SELECT Id, Name, DeveloperName, Description, Type, RelatedId, DoesIncludeBosses, DoesSendEmailToMembers, Email, OwnerId, CreatedDate, LastModifiedDate FROM Group ORDER BY Type, Name"
"group_members","813","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\group_members.csv","SELECT Id, GroupId, Group.Name, Group.DeveloperName, Group.Type, UserOrGroupId, SystemModstamp FROM GroupMember"
"queue_objects","151","C:\Users\LIKKI\Documents\ChatGPT\David 2 Probo medical\scratch\user_access_export\queue_objects.csv","SELECT Id, QueueId, Queue.Name, SobjectType FROM QueueSobject ORDER BY Queue.Name, SobjectType"
