Id,PermissionSetGroupId,PermissionSetGroup.DeveloperName,PermissionSetGroup.MasterLabel,PermissionSetId,PermissionSet.Name,PermissionSet.Label,PermissionSet.Type,CreatedDate,LastModifiedDate
0PMRo0000000A93OAE,0PGRo00000005KfOAI,Chargent_Admin_User,Chargent Admin User,0PSRo0000002mDTOAY,Chargent_Edit_Payment_Methods,Chargent Edit Payment Methods,Regular,2024-05-31T15:07:29.000+0000,2026-07-07T22:27:26.000+0000
0PMRo0000000A94OAE,0PGRo00000005KfOAI,Chargent_Admin_User,Chargent Admin User,0PS4O000000zpNhWAI,Chargent_Admin_Base,Chargent Admin (Base),Regular,2024-05-31T15:07:29.000+0000,2026-07-07T22:27:26.000+0000
0PMRo0000000A95OAE,0PGRo00000005KfOAI,Chargent_Admin_User,Chargent Admin User,0PSRo0000002mGhOAI,Chargent_Payment_Methods_Use_Pay_Forms,Chargent Payment Methods Use Pay Forms,Regular,2024-05-31T15:07:29.000+0000,2026-07-07T22:27:26.000+0000
0PMRo0000000A96OAE,0PGRo00000005KfOAI,Chargent_Admin_User,Chargent Admin User,0PS4O000000zpNmWAI,Chargent_Admin_Orders,Chargent Admin (Orders),Regular,2024-05-31T15:07:29.000+0000,2026-07-07T22:27:26.000+0000
0PMRo0000000A97OAE,0PGRo00000005KfOAI,Chargent_Admin_User,Chargent Admin User,0PSRo0000002mDROAY,Chargent_Create_Payment_Methods,Chargent Create Payment Methods,Regular,2024-05-31T15:07:29.000+0000,2026-07-07T22:27:26.000+0000
0PMRo0000000A98OAE,0PGRo00000005KfOAI,Chargent_Admin_User,Chargent Admin User,0PSRo0000002mDSOAY,Chargent_Delete_Payment_Methods,Chargent Delete Payment Methods,Regular,2024-05-31T15:07:29.000+0000,2026-07-07T22:27:26.000+0000
0PMRo0000000A99OAE,0PGRo00000005KgOAI,Chargent_Community_User,Chargent Community User,0PSRo0000002mDTOAY,Chargent_Edit_Payment_Methods,Chargent Edit Payment Methods,Regular,2024-05-31T15:07:31.000+0000,2025-07-01T22:18:43.000+0000
0PMRo0000000A9AOAU,0PGRo00000005KgOAI,Chargent_Community_User,Chargent Community User,0PS4O000000zpNjWAI,Permission_Set_for_Payment_Request_Base,Permission Set for Payment Request (Base),Regular,2024-05-31T15:07:31.000+0000,2025-07-01T22:18:43.000+0000
0PMRo0000000A9COAU,0PGRo00000005KgOAI,Chargent_Community_User,Chargent Community User,0PSRo0000002mDUOAY,Chargent_Read_Gateways,Chargent Read Gateways,Regular,2024-05-31T15:07:31.000+0000,2025-07-01T22:18:43.000+0000
0PMRo0000000A9DOAU,0PGRo00000005KgOAI,Chargent_Community_User,Chargent Community User,0PS4O000000zpNoWAI,Permission_Set_for_Payment_Request_Chargent_Orders,Permission Set for Payment Request (Chargent Orders),Regular,2024-05-31T15:07:31.000+0000,2025-07-01T22:18:43.000+0000
0PMRo0000000A9FOAU,0PGRo00000005KgOAI,Chargent_Community_User,Chargent Community User,0PSRo0000002mDROAY,Chargent_Create_Payment_Methods,Chargent Create Payment Methods,Regular,2024-05-31T15:07:31.000+0000,2025-07-01T22:18:43.000+0000
0PMRo0000000A9HOAU,0PGRo00000005KhOAI,Chargent_Guest_User,Chargent Guest User,0PS4O000000zpNjWAI,Permission_Set_for_Payment_Request_Base,Permission Set for Payment Request (Base),Regular,2024-05-31T15:07:32.000+0000,2026-07-07T22:27:26.000+0000
0PMRo0000000A9KOAU,0PGRo00000005KhOAI,Chargent_Guest_User,Chargent Guest User,0PSRo0000002mDROAY,Chargent_Create_Payment_Methods,Chargent Create Payment Methods,Regular,2024-05-31T15:07:32.000+0000,2026-07-07T22:27:26.000+0000
0PMRo0000000A9LOAU,0PGRo00000005KiOAI,Chargent_Standard_User,Chargent Standard User,0PS4O000000zpNnWAI,Chargent_User_Orders,Chargent User (Orders),Regular,2024-05-31T15:07:33.000+0000,2024-05-31T15:07:33.000+0000
0PMRo0000000A9MOAU,0PGRo00000005KiOAI,Chargent_Standard_User,Chargent Standard User,0PSRo0000002mDTOAY,Chargent_Edit_Payment_Methods,Chargent Edit Payment Methods,Regular,2024-05-31T15:07:33.000+0000,2024-05-31T15:07:33.000+0000
0PMRo0000000A9NOAU,0PGRo00000005KiOAI,Chargent_Standard_User,Chargent Standard User,0PS4O000000zpNiWAI,Chargent_User_Base,Chargent User (Base),Regular,2024-05-31T15:07:33.000+0000,2024-05-31T15:07:33.000+0000
