Id,DeveloperName,MasterLabel,Description,Status,HasActivationRequired,NamespacePrefix,CreatedDate,LastModifiedDate
0PGRo00000005KfOAI,Chargent_Admin_User,Chargent Admin User,Includes the minimum necessary Chargent permissions for an Admin User.,Updated,false,ChargentOrders,2024-05-31T15:07:27.000+0000,2026-07-07T22:30:01.000+0000
0PGRo00000005KgOAI,Chargent_Community_User,Chargent Community User,Includes the minimum necessary Chargent permissions for a Community User.,Updated,false,ChargentOrders,2024-05-31T15:07:29.000+0000,2026-07-07T22:30:17.000+0000
0PGRo00000005KhOAI,Chargent_Guest_User,Chargent Guest User,Includes the minimum necessary Chargent permissions for a Guest User.,Updated,false,ChargentOrders,2024-05-31T15:07:31.000+0000,2026-07-07T22:30:08.000+0000
0PGRo00000005KiOAI,Chargent_Standard_User,Chargent Standard User,Includes the minimum necessary Chargent permissions for a Standard User.,Updated,false,ChargentOrders,2024-05-31T15:07:32.000+0000,2026-07-07T22:29:55.000+0000
0PGRo0000000DDNOA2,CopilotSalesforceAdminPSG,CopilotSalesforceAdminPSG,,Updated,false,force,2024-10-18T01:45:50.000+0000,2026-04-07T07:01:28.000+0000
0PGRo0000000DDOOA2,CopilotSalesforceUserPSG,CopilotSalesforceUserPSG,,Updated,false,force,2024-10-18T01:45:50.000+0000,2026-04-07T07:01:33.000+0000
0PGRo0000001hPVOAY,SalesCloudCallCoachingSeller,SalesCloudCallCoachingSeller,,Updated,false,force,2026-07-07T22:36:48.000+0000,2026-07-07T22:39:06.000+0000
0PGRo0000001Ot8OAE,SalesCloudSeller,SalesCloudSeller,,Updated,false,force,2026-06-13T04:27:41.000+0000,2026-06-13T04:30:12.000+0000
0PGRo0000001Ot7OAE,SalesCloudSellerUnlimited,SalesCloudSellerUnlimited,,Updated,false,force,2026-06-13T04:27:41.000+0000,2026-06-13T04:30:19.000+0000
0PGRo0000000vxZOAQ,SalesWorkspacePSG,SalesWorkspacePSG,,Updated,false,force,2025-12-20T06:34:43.000+0000,2026-01-09T08:07:13.000+0000
0PGRo0000000PUfOAM,ScaleCenterUsers,ScaleCenterUsers,,Updated,false,force,2025-08-01T04:08:24.000+0000,2025-08-01T04:08:34.000+0000
0PGRo0000001DMbOAM,UnifiedCatalogAdminPsl,UnifiedCatalogAdminPsl,,Updated,false,force,2026-03-06T18:17:00.000+0000,2026-06-13T07:01:48.000+0000
0PGRo0000001DMcOAM,UnifiedCatalogAgentPsl,UnifiedCatalogAgentPsl,,Updated,false,force,2026-03-06T18:17:00.000+0000,2026-06-13T07:01:46.000+0000
0PGRo0000001DMdOAM,UnifiedCatalogCommunityUserPsl,UnifiedCatalogCommunityUserPsl,,Updated,false,force,2026-03-06T18:17:00.000+0000,2026-06-13T07:01:46.000+0000
0PGRo00000018ErOAI,US_FSL,US FSL,,Updated,false,,2026-02-09T21:19:12.000+0000,2026-08-06T07:56:14.000+0000
