Id,DeveloperName,MasterLabel,Status,TotalLicenses,UsedLicenses,PermissionSetLicenseKey,ExpirationDate,LicenseExpirationPolicy,IsSupplementLicense,IsAvailableForIntegrations,CreatedDate,LastModifiedDate
0PL4O00000003NAWAY,IsotopePermissionSet,(Retired) Salesforce Mobile Chat Experience,Disabled,0,0,IsotopePermissionSet,2021-01-25,,false,false,2020-02-19T08:07:27.000+0000,2026-08-15T06:02:59.000+0000
0PL5b000000PSkzGAG,AccountEngagementPsl,Account Engagement,Active,1000,4,AccountEngagementPsl,2027-01-12,,false,false,2022-10-20T02:41:06.000+0000,2026-08-15T06:02:59.000+0000
0PLRo000000BJDpOAO,AccountPlansPsl,Account Plans,Active,325,0,AccountPlansPsl,2027-08-02,,false,false,2026-06-13T04:27:40.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003P1tOAE,EinsteinGPTCopilotPsl,Agentforce (Default),Active,100,1,EinsteinGPTCopilotPsl,2027-01-12,,false,false,2024-10-18T01:45:49.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000009rQAOAY,AgentforcePlatformUserPsl,Agentforce Platform User,Active,60,0,AgentforcePlatformUserPsl,2027-08-02,,false,false,2026-03-06T18:16:58.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000006lCTOAY,SalesCloudUnlimitedAnalyticsAdminPsl,Analytics Template Administration,Active,3,0,SalesCloudUnlimitedAnalyticsAdminPsl,2027-08-02,,false,false,2025-08-01T04:08:22.000+0000,2026-08-15T06:02:59.000+0000
0PL4O000000GqLdWAK,AnalyticsViewOnlyEmbeddedAppPsl,Analytics View Only Embedded App,Active,465,0,AnalyticsViewOnlyEmbeddedAppPsl,2027-08-02,,false,false,2019-06-18T16:21:29.000+0000,2026-08-15T06:02:59.000+0000
0PLRo000000ABLZOA4,ArticleRecommendationsForCasesOnDCPsl,Article Recommendations For Cases on Data Cloud,Active,445,0,ArticleRecommendationsForCasesOnDCPsl,2027-08-02,,false,false,2026-03-27T16:20:17.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000006lCLOAY,AutomatedActionsPsl,Automated Actions,Active,325,0,AutomatedActionsPsl,2027-08-02,,false,false,2025-08-01T04:08:22.000+0000,2026-08-15T06:02:59.000+0000
0PL4O000000TRcsWAG,B2BMarketingAnalytics,B2B Marketing Analytics,Active,11,7,B2BMarketingAnalytics,2027-01-12,,false,false,2020-09-08T21:01:12.000+0000,2026-08-15T06:02:59.000+0000
0PLRo0000003MooOAE,BREDesigner,Business Rules Engine Designer,Active,445,0,BREDesigner,2027-08-02,,false,false,2024-10-17T01:36:06.000+0000,2026-08-15T06:02:59.000+0000
