Id,Name,Label,Description,LicenseId,IsCustom,IsOwnedByProfile,ProfileId,Profile.Name,NamespacePrefix,Type,HasActivationRequired,PermissionSetGroupId,CreatedDate,LastModifiedDate
0PS4O000000vMZBWA2,Super_User,"""Super User""","Gives ""modify all data"" checkbox to users. Also specifically allows to change reserved and sold checkbox on asset page; as well as change picklist value sets.",,true,false,,,,Regular,false,,2021-04-12T16:00:37.000+0000,2025-05-30T21:01:41.000+0000
0PS0B0000009LQnWAM,X00e0B000000FNbZQAW,00e0B000000FNbZQAW,,100U00000000paUIAQ,true,true,00e0B000000FNbZQAW,CustomerForm Profile,,Profile,false,,2016-10-21T11:25:30.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b4UMWAY,X00e0B000000ZybXQAS,00e0B000000ZybXQAS,,100U0000000Hb0mIAC,true,true,00e0B000000ZybXQAS,Purchasing Manager,,Profile,false,,2017-06-09T15:15:27.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b4c1WAA,X00e0B000000ZygIQAS,00e0B000000ZygIQAS,,100U00000000paUIAQ,true,true,00e0B000000ZygIQAS,Approval Form Profile,,Profile,false,,2017-06-27T17:18:22.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b4c6WAA,X00e0B000000ZygNQAS,00e0B000000ZygNQAS,,100U00000000paUIAQ,true,true,00e0B000000ZygNQAS,Approval Attachment Profile,,Profile,false,,2017-06-27T17:19:07.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b4dTWAQ,X00e0B000000ZyhBQAS,00e0B000000ZyhBQAS,,1000B0000009MXxQAM,false,true,00e0B000000ZyhBQAS,Customer Community Plus User,,Profile,false,,2017-07-03T04:01:18.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b4dnWAA,X00e0B000000ZyhQQAS,00e0B000000ZyhQQAS,,100U0000000Hb0mIAC,true,true,00e0B000000ZyhQQAS,QC Manager,,Profile,false,,2017-07-05T18:38:57.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b4fFWAQ,X00e0B000000ZyiTQAS,00e0B000000ZyiTQAS,,100U00000000paUIAQ,true,true,00e0B000000ZyiTQAS,Conquest Profile,,Profile,false,,2017-07-11T16:38:50.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b4wuWAA,X00e0B000000ZyrfQAC,00e0B000000ZyrfQAC,,1000B0000009MXxQAM,true,true,00e0B000000ZyrfQAC,Conquest Portal,,Profile,false,,2017-08-23T22:30:04.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b52dWAA,X00e0B000000ZyuZQAS,00e0B000000ZyuZQAS,,100U00000000paUIAQ,true,true,00e0B000000ZyuZQAS,Inventory Profile,,Profile,false,,2017-09-01T20:44:33.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b5LQWAY,X00e0B000000Zz4PQAS,00e0B000000Zz4PQAS,,100U00000000paUIAQ,true,true,00e0B000000Zz4PQAS,Demo Site Profile,,Profile,false,,2017-11-15T18:47:23.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b5SRWAY,X00e0B000000Zz5SQAS,00e0B000000Zz5SQAS,,100U0000000Hb0mIAC,true,true,00e0B000000Zz5SQAS,Sales with Purchasing,,Profile,false,,2017-11-29T16:15:15.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b5ycWAA,X00e0B000000ZzJtQAK,00e0B000000ZzJtQAK,,100U00000000paUIAQ,true,true,00e0B000000ZzJtQAK,Consensys Profile,,Profile,false,,2018-02-13T15:59:46.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b5yhWAA,X00e0B000000ZzK3QAK,00e0B000000ZzK3QAK,,1000B0000009MXxQAM,true,true,00e0B000000ZzK3QAK,Consensys Portal,,Profile,false,,2018-02-13T18:03:49.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b6FJWAY,X00e0B000000ZzPhQAK,00e0B000000ZzPhQAK,,1000B0000009MgqQAE,false,true,00e0B000000ZzPhQAK,B2BMA Integration User,,Profile,false,,2018-04-01T04:16:45.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b6MAWAY,X00e0B000000ZzSWQA0,00e0B000000ZzSWQA0,,100U00000000paUIAQ,true,true,00e0B000000ZzSWQA0,Northfield Profile,,Profile,false,,2018-04-18T18:41:21.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b6MFWAY,X00e0B000000ZzSbQAK,00e0B000000ZzSbQAK,,1000B0000009MXxQAM,true,true,00e0B000000ZzSbQAK,Northfield Portal,,Profile,false,,2018-04-18T19:06:11.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b6NNWAY,X00e0B000000ZzTFQA0,00e0B000000ZzTFQA0,,100U0000000Hb0mIAC,true,true,00e0B000000ZzTFQA0,Read Only with Custom Objects and Reports,,Profile,false,,2018-04-20T18:59:26.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b7CVWAY,X00e0B000000ZzvdQAC,00e0B000000ZzvdQAC,,100U00000000paUIAQ,true,true,00e0B000000ZzvdQAC,Alpha Source Profile,,Profile,false,,2018-07-20T17:04:11.000+0000,2026-06-30T03:31:13.000+0000
0PS0B000000b7CfWAI,X00e0B000000ZzviQAC,00e0B000000ZzviQAC,,1000B0000009MXxQAM,true,true,00e0B000000ZzviQAC,Alpha Source Portal,,Profile,false,,2018-07-20T17:35:04.000+0000,2026-08-12T10:06:52.000+0000
0PS0B000000b7ECWAY,X00e0B000000ZzwMQAS,00e0B000000ZzwMQAS,,1000B0000009MXxQAM,true,true,00e0B000000ZzwMQAS,Mobile Portal,,Profile,false,,2018-07-25T19:20:46.000+0000,2026-08-12T10:06:52.000+0000
