Id,QueueId,Queue.Name,SobjectType
03g4O000000Cmo1QAC,00G4O0000049XFfUAM,Adrianna Englands Leads Queue,Lead
03g4O000000XJsDQAW,00G4O000003dLNLUA2,After Hours Call Queue,Lead
03g5b000000VNsoAAG,00G5b0000043jRJEAY,Alexandro Salas Leads Queue,Lead
03gRo00000F6eWpIAJ,00GRo00000H0iqbMAB,Aline Ekizian Leads Queue,Lead
03g5b00000050qSAAQ,00G5b00000363IaEAI,Alyssa Haley Leads Queue,Lead
03gRo00000JN3FBIA1,00GRo00000Knln4MAB,Andreea Dura's Lead Queue,Lead
03g4O000000xGyGQAU,00G4O000004PUXPUA4,Anthony's Leads Queue,Lead
03g4O000000xHqcQAE,00G4O000004Pgh6UAC,Apps Requests,Case
03g4O000000CmoLQAS,00G4O0000049XNtUAM,April Lebo's Leads Queue,Lead
03gRo00000Hm2vNIAR,00GRo00000JYnplMAD,April Rogers Leads Queue,Lead
03gRo00000SIPG9IAP,00GRo00000PXFRhMAP,AR Queue,Case
03g5b00000050qXAAQ,00G5b00000363IfEAI,Ashley Power Leads Queue,Lead
03gRo00000Fbn5xIAB,00GRo00000HV5ODMA1,Barb Sheriff Leads Queue,Lead
03g0B000000XFhzQAG,00G0B000003cuaxUAA,Ben Irons' Leads Queue,Lead
03gRo000005gLwQIAU,00GRo000006oljRMAQ,Ben Rice Leads Queue,Lead
03g5b0000004yx7AAA,00G5b0000035KqdEAE,Brandon Rector's Leads Queue,Lead
03gRo000005bX29IAE,00GRo000006kEnhMAE,Brian Gill's Leads Queue,Lead
03g4O000000CmyQQAS,00G4O0000049YHGUA2,Brian Kosar Leads Queue,Lead
03gRo000005gTPKIA2,00GRo000006oll3MAA,Bud Kuhn Leads Queue,Lead
03gRo00000Uu6UTIAZ,00GRo00000RBb7zMAD,Camille Bailly Lead Queue,Lead
03g5b0000004zP1AAI,00G5b0000035b9qEAA,Cannon McDaniel's Leads Queue,Lead
03g0B000000XFhpQAG,00G0B000003cuanUAA,Chad Pannucci's Leads Queue,Lead
03gRo000007K8GjIAK,00GRo000008TEMLMA4,Charles Abel Lead Queue,Lead
03gRo000009KTNKIA4,00GRo00000AOii5MAD,Ciara Webster Leads Queue,Lead
03g4O000000xH07QAE,00G4O000004PVd9UAG,Claudia's Leads Queue,Lead
03g4O000000xH0CQAU,00G4O000004PVdEUAW,Claudiu's Leads Queue,Lead
03g5b0000012HUGAA2,00G5b000003u2QREAY,CM Queue,Credit_Memo__c
03g5b0000012HUBAA2,00G5b000003u2QREAY,CM Queue,Task
03g5b0000012GurAAE,00G5b000003tyAFEAY,Corne Swart's Leads Queue,Lead
03g5b00000052D3AAI,00G5b00000367nyEAA,Dani Langson's Leads Queue,Lead
03gRo00000g71qQIAQ,00GRo00000aCsEPMA0,Danny Tapia Leads Queue,Lead
03g0B000000XFi4QAG,00G0B000003cub2UAA,David Barnett's Leads Queue,Lead
03g5b00000052DmAAI,00G5b00000367ohEAA,David Mount's Leads Queue,Lead
03g5b00000050q8AAA,00G5b00000363IGEAY,Dawn Boyd Leads Queue,Lead
03gRo00000E6OHJIA3,00GRo00000FsYnFMAV,Diane Baroni Leads Queue,Lead
03g4O000000xHiOQAU,00G4O000004PdqsUAC,Dispatch Requests,Case
03g4O000000CmknQAC,00G4O0000049WaKUAU,Donation Leads,Lead
03g0B000000XFhaQAG,00G0B000003cuaYUAQ,Elizabeth Cook Leads Queue,Lead
03g0B000000XFhBQAW,00G0B000003cua9UAA,Enrico Franchini Leads Queue,Lead
03g5b0000004zMgAAI,00G5b0000035YsOEAU,Equipment Acquisition - UK,Lead
03g5b0000004zMHAAY,00G5b0000035YrzEAE,EU Rental,Lead
03g5b0000004zMlAAI,00G5b0000035YsTEAU,EU Ultrasound Sales,Lead
03g4O000000Cmn3QAC,00G4O0000049WvzUAE,Existing Accounts,Lead
03g4O000000CmmyQAC,00G4O0000049WvuUAE,Existing Contacts,Lead
03g0B000000XFhQQAW,00G0B000003cuaOUAQ,Feldmann's Leads Queue,Lead
03g5b000000VO41AAG,00G5b0000043lJIEAY,Fred Fimbres Leads Queue,Lead
03g4O000000xHiJQAU,00G4O000004PdqnUAC,FSE Requests,Case
03g5b00000050qIAAQ,00G5b00000363IQEAY,Gary Stokes Leads Queue,Lead
03g4O000000CmoGQAS,00G4O0000049XNoUAM,Gina Olsen's Leads Queue,Lead
03g5b000000515NAAQ,00G5b00000364HnEAI,Gisselle Cox Leads Queue,Lead
03gRo00000HrMv3IAF,00GRo00000JeJCHMA3,Glassware Leads Queue,Lead
03g0B000000XFhfQAG,00G0B000003cuadUAA,Glenn Josephik Leads Queue,Lead
03g5b00000050qNAAQ,00G5b00000363IVEAY,Grayson West Leads Queue,Lead
03g5b00000052DNAAY,00G5b00000367oIEAQ,Gugandeep Bhogal's Leads Queue,Lead
03gRo00000KC4dpIAD,00GRo00000LKHv3MAH,Holly Graves Leads Queue,Lead
03g5b000000VO46AAG,00G5b0000043lJNEAY,Howard Taroff Leads Queue,Lead
03g5b00000050pyAAA,00G5b00000363I6EAI,Hunter Hill Leads Queue,Lead
03g5b0000004z7MAAQ,00G5b0000035Rv6EAE,Invoice Approval Queue,Invoice__c
03g5b000000515IAAQ,00G5b00000364HdEAI,Ivis Kamack Lead Queue,Lead
03g0B000000XFhuQAG,00G0B000003cuasUAA,Jace Gentil's Leads Queue,Lead
03gRo00000BKAheIAH,00GRo00000COeTdMAL,James Kilgour's Leads Queue,Lead
03g5b00000050qcAAA,00G5b00000363IkEAI,Jason Plank Leads Queue,Lead
03g4O0000008VFDQA2,00G4O000003u9F3UAI,Jeff Gromack's Lead Queue,Lead
03gRo00000F6PzDIAV,00GRo00000H0QASMA3,Jeff Volpp Leads Queue,Lead
03g5b00000052DhAAI,00G5b00000367ocEAA,Jennifer Mace's Leads Queue,Lead
03g0B000000XFhVQAW,00G0B000003cuaTUAQ,Joe Hicks Leads Queue,Lead
03gRo000007gjeDIAQ,00GRo000008ne7nMAA,Joe Williams Leads Queue,Lead
03g5b00000052D8AAI,00G5b00000367o3EAA,Joe Witcomb's Leads Queue,Lead
03g4O000000xH0RQAU,00G4O000004PViOUAW,Jonathan Vargas's Leads Queue,Lead
03g4O000000xGxwQAE,00G4O000004PUX5UAO,Jose's Leads Queue,Lead
03g5b000000PvrEAAS,00G5b000004JhCYEA0,Josh Sutton Leads Queue,Lead
03g5b0000012H8UAAU,00G5b000003u044EAA,Julie Nickerson's Leads Queue,Lead
03gRo00000Y4xh3IAB,00GRo00000TwaFJMAZ,Kelly Padgett,Lead
03g5b000000Px2hAAC,00G5b000004KZufEAG,Kevin Gregory's Lead Queue,Lead
03g5b00000052DwAAI,00G5b00000367orEAA,Kitty Parker's Leads Queue,Lead
03g5b000000PuOBAA0,00G5b0000047ZyOEAU,Kristen Kennebeck's Lead Queue,Lead
03g5b00000052ZxAAI,00G5b00000368hXEAQ,Lauren Fitzgerald Lead Queue,Lead
03gRo00000WVSs1IAH,00GRo00000ShA41MAF,Lee Moger Lead Queue,Lead
03gRo00000WVSlZIAX,00GRo00000Sh9ntMAB,Leon Parsons Lead Queue,Lead
03g5b00000052DXAAY,00G5b00000367oSEAQ,Lewis Newell's Leads Queue,Lead
03g5b00000052E1AAI,00G5b00000367owEAA,Marcus Reynolds' Leads Queue,Lead
