Id,Name,DeveloperName,ParentRoleId,ParentRole.Name,RollupDescription,OpportunityAccessForAccountOwner,CaseAccessForAccountOwner,ContactAccessForAccountOwner,PortalType,ForecastUserId,MayForecastManagerShare,LastModifiedDate
00E0B000000ag5HUAQ,"Agiliti Surgical Equipment Repair, Inc Customer Manager",NorthfieldMedicalCustomerManager,00E0B000000aeSPUAY,Sales Rep,"Agiliti Surgical Equipment Repair, Inc Customer Manager",Read,None,None,CustomerPortal,,false,2020-02-02T19:29:52.000+0000
00E0B000000ag5IUAQ,"Agiliti Surgical Equipment Repair, Inc Customer User",NorthfieldMedicalCustomerUser,00E0B000000ag5HUAQ,"Agiliti Surgical Equipment Repair, Inc Customer Manager","Agiliti Surgical Equipment Repair, Inc Customer User",Read,None,None,CustomerPortal,,false,2018-04-18T18:53:54.000+0000
00E0B000000ah3CUAQ,Alpha Source Inc. Customer Manager,AlphaSourceIncCustomerManager,00E0B000000aeSPUAY,Sales Rep,Alpha Source Inc. Customer Manager,Read,None,None,CustomerPortal,,false,2022-01-19T18:41:59.000+0000
00E0B000000ah3DUAQ,Alpha Source Inc. Customer User,AlphaSourceIncCustomerUser,00E0B000000ah3CUAQ,Alpha Source Inc. Customer Manager,Alpha Source Inc. Customer User,Read,None,None,CustomerPortal,,false,2018-07-20T17:36:51.000+0000
00E5b000000debAEAQ,Barnabas Health Customer Manager,BarnabasHealthCustomerManager,00E0B000000aeSOUAY,Sales Manager,Barnabas Health Customer Manager,Read,None,None,CustomerPortal,,false,2023-04-25T20:13:38.000+0000
00E5b000000debBEAQ,Barnabas Health Customer User,BarnabasHealthCustomerUser,00E5b000000debAEAQ,Barnabas Health Customer Manager,Barnabas Health Customer User,Read,None,None,CustomerPortal,,false,2021-10-20T13:30:46.000+0000
00E5b000001v2NjEAI,Block Imaging International Inc. Customer Manager,BlockImagingInternationalIncCustomerManager,00E0B000000aeSPUAY,Sales Rep,Block Imaging International Inc. Customer Manager,None,None,None,CustomerPortal,,false,2023-10-11T18:14:27.000+0000
00E5b000001v2NkEAI,Block Imaging International Inc. Customer User,BlockImagingInternationalIncCustomerUser,00E5b000001v2NjEAI,Block Imaging International Inc. Customer Manager,Block Imaging International Inc. Customer User,None,None,None,CustomerPortal,,false,2023-10-11T18:14:27.000+0000
00E0B000000aeSYUAY,Business Development Manager,Business_Development_Manager,00E5b000000dqFBEAY,Managing Director,,Edit,Edit,Edit,None,,false,2022-02-14T09:39:01.000+0000
00E0B000000aeSdUAI,Business Development Rep,Business_Development_Rep,00E0B000000aeSYUAY,Business Development Manager,,Edit,Edit,Edit,None,,false,2017-12-06T19:43:43.000+0000
00E0B000000ailYUAQ,Catholic Health Initiatives (CHI) Customer Manager,CatholicHealthInitiativesCHICustomerManager,00E0B000000aeSOUAY,Sales Manager,Catholic Health Initiatives (CHI) Customer Manager,Read,None,None,CustomerPortal,,false,2023-04-25T20:13:38.000+0000
00E0B000000ailZUAQ,Catholic Health Initiatives (CHI) Customer User,CatholicHealthInitiativesCHICustomerUser,00E0B000000ailYUAQ,Catholic Health Initiatives (CHI) Customer Manager,Catholic Health Initiatives (CHI) Customer User,Read,None,None,CustomerPortal,,false,2018-11-26T16:51:09.000+0000
00E0B000000afBYUAY,Consensys Imaging Customer Manager,ConsensysImagingCustomerManager,00E0B000000aeSOUAY,Sales Manager,Consensys Imaging Customer Manager,Read,None,None,CustomerPortal,,false,2023-04-25T20:13:38.000+0000
00E0B000000afBZUAY,Consensys Imaging Customer User,ConsensysImagingCustomerUser,00E0B000000afBYUAY,Consensys Imaging Customer Manager,Consensys Imaging Customer User,Read,None,None,CustomerPortal,,false,2018-02-13T17:40:19.000+0000
00E5b000000dqE8EAI,Coordinator - UK,Coordinator_UK,00E5b000000dqE3EAI,Manager - UK,Coordinator - UK,Edit,Edit,Edit,None,,false,2022-02-14T09:08:11.000+0000
00E0B000000ad83UAA,Customer Repair Coordinator,Customer_Repair_Coordinator,00E5b000000dqFBEAY,Managing Director,,Edit,Edit,Edit,None,,false,2022-02-14T09:40:09.000+0000
00ERo000005IUKvMAO,DCarr Customer Person Account,DCarrCustomerPersonAccount,00E0B000000aeSPUAY,Sales Rep,DCarr Customer Person Account,None,None,None,CustomerPortal,,false,2024-07-23T19:20:50.000+0000
00E5b000000dqDyEAI,Dept. Head - UK,Dept_Head_UK,00E5b000000dqDoEAI,Director - UK,Dept. Head - UK,Edit,Edit,Edit,None,,false,2022-02-14T09:06:45.000+0000
00E5b000000dqDoEAI,Director - UK,Director_UK,00E5b000000dqDjEAI,Managing Director - UK,Director - UK,Edit,Edit,Edit,None,,false,2022-02-14T09:05:43.000+0000
