Id,Name,MasterLabel,LicenseDefinitionKey,Status,TotalLicenses,UsedLicenses,UsedLicensesLastUpdated,CreatedDate,LastModifiedDate
1005b000001Q8ctAAC,Analytics Cloud Integration User,Analytics Cloud Integration User,INSIGHTS_INTEGRATION_USER,Active,2,2,2026-08-18T16:24:49.000+0000,2023-10-14T05:05:16.000+0000,2026-08-15T06:02:55.000+0000
1000B0000009MgqQAE,B2BMA Integration User,B2BMA Integration User,PID_B2bmaIntegration,Active,1,1,2026-08-18T16:24:49.000+0000,2018-04-01T04:16:44.000+0000,2026-08-15T06:02:55.000+0000
100U00000000nGdIAI,Chatter External,Chatter External,CSN_External_User,Active,500,0,2026-08-18T16:24:49.000+0000,2014-05-16T18:55:49.000+0000,2026-08-15T06:02:55.000+0000
100U00000000nGcIAI,Chatter Free,Chatter Free,CSN_User,Active,5000,1,2026-08-18T16:24:49.000+0000,2014-05-16T18:55:49.000+0000,2026-08-15T06:02:55.000+0000
1000B0000009MtsQAE,Cloud Integration User,Cloud Integration User,CLOUD_INTEGRATION_USER,Active,1,1,2026-08-18T16:24:49.000+0000,2018-06-18T05:10:21.000+0000,2026-08-15T06:02:55.000+0000
1000B0000009MXxQAM,Customer Community Plus,Customer Community Plus,PID_Customer_Community_Plus,Active,60,35,2026-08-18T16:24:49.000+0000,2017-07-03T04:01:17.000+0000,2026-08-15T06:02:55.000+0000
100U0000000Q6PpIAK,Force.com - App Subscription,Force.com - App Subscription,FDC_SUB,Disabled,0,0,2026-08-18T16:24:49.000+0000,2015-01-02T22:45:33.000+0000,2026-08-15T06:02:55.000+0000
100U00000000paUIAQ,Guest User License,Guest License,PID_Guest_User,Active,25,23,2026-08-18T16:24:49.000+0000,2014-06-30T20:31:31.000+0000,2026-08-15T06:02:55.000+0000
1004O000000JFthQAG,Identity,Identity,PID_Identity_User,Active,100,0,2026-08-18T16:24:49.000+0000,2020-09-12T05:56:47.000+0000,2026-08-15T06:02:55.000+0000
1005b000000GwZnAAK,Sales Insights Integration User,Sales Insights Integration User,PID_ImplisitIntegration,Active,1,1,2026-08-18T16:24:49.000+0000,2022-03-15T14:13:15.000+0000,2026-08-15T06:02:55.000+0000
100U0000000Hb0mIAC,Salesforce,Salesforce,SFDC,Active,471,428,2026-08-18T16:24:49.000+0000,2014-05-16T18:55:04.000+0000,2026-08-15T06:02:55.000+0000
1005b000000hWDGAA2,Salesforce Integration,Salesforce Integration,SALESFORCE_INTEGRATION_USER,Active,5,0,2026-08-18T16:24:49.000+0000,2023-03-17T05:33:47.000+0000,2026-08-15T06:02:55.000+0000
1005b000000GwZoAAK,SalesforceIQ Integration User,SalesforceIQ Integration User,PID_SalesforceIQIntegration,Active,1,1,2026-08-18T16:24:49.000+0000,2022-03-15T14:13:15.000+0000,2026-08-15T06:02:55.000+0000
